cellVoltage_1,cellVoltage_2,cellVoltage_3,cellVoltage_4,cellVoltage_5,cellVoltage_6,cellVoltage_7,cellVoltage_8,cellVoltage_9,cellVoltage_10,cellVoltage_11,cellVoltage_12,cellVoltage_13,cellVoltage_14,packCurrent,cellSoC_1,cellSoC_2,cellSoC_3,cellSoC_4,cellSoC_5,cellSoC_6,cellSoC_7,cellSoC_8,cellSoC_9,cellSoC_10,cellSoC_11,cellSoC_12,cellSoC_13,cellSoC_14,cellSoH_1,cellSoH_2,cellSoH_3,cellSoH_4,cellSoH_5,cellSoH_6,cellSoH_7,cellSoH_8,cellSoH_9,cellSoH_10,cellSoH_11,cellSoH_12,cellSoH_13,cellSoH_14,equivalentFullCycle,Date
2161407,2159881,1833648,1927642,1897277,1895751,2130126,1877746,1970062,2315368,2124023,2123413,2230529,2098083,462,765,753,-183,-78,-139,-140,662,-171,31,816,643,639,816,546,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,0,1671102943
2161254,2159576,1832885,1927337,1897430,1896057,2131042,1879119,1970062,2315826,2123413,2122955,2230529,2098083,463,765,753,-183,-78,-139,-140,662,-171,31,816,643,639,816,546,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,0,1671102944
2161560,2159271,1832885,1926879,1896972,1896209,2130737,1879119,1969299,2315216,2123718,2123718,2230377,2097625,464,765,753,-183,-78,-139,-140,662,-171,31,816,643,639,816,546,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,0,1671102945
2160949,2159423,1833801,1927642,1897277,1896057,2130432,1878509,1970367,2315216,2124328,2123870,2230377,2098388,460,765,753,-183,-78,-139,-140,662,-171,31,816,643,639,816,546,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,0,1671102946
2161712,2159881,1833953,1927795,1896667,1895446,2131042,1878662,1970062,2315521,2123870,2123260,2230834,2097930,461,765,753,-183,-78,-139,-140,662,-171,31,816,643,639,816,546,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,0,1671102947
2160949,2159271,1834411,1928253,1897125,1896057,2130584,1878814,1970062,2315216,2124023,2122955,2230682,2097930,462,765,753,-183,-78,-139,-140,662,-171,31,816,643,639,816,546,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,0,1671102948
2160797,2159271,1834411,1927642,1896972,1896209,2131195,1878356,1969604,2315521,2123870,2122650,2231292,2097930,461,765,753,-183,-78,-139,-140,662,-171,31,816,643,639,816,546,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,0,1671102949
2160949,2159271,1833648,1927185,1897430,1896057,2130279,1878204,1969299,2314605,2124023,2123718,2230529,2098083,460,765,753,-183,-78,-139,-140,662,-171,31,816,643,639,816,546,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,0,1671102950
2160949,2159576,1834106,1927642,1896820,1895294,2130584,1877746,1969604,2315216,2123413,2122650,2230072,2097473,463,765,753,-183,-78,-139,-140,662,-171,31,816,643,639,816,546,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,0,1671102951
2161712,2160491,1833190,1927490,1897430,1896057,2130889,1878356,1969451,2314758,2123413,2123260,2229919,2097015,458,765,753,-183,-78,-139,-140,662,-171,31,816,643,639,816,546,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,0,1671102952
2160949,2158966,1833648,1927185,1896820,1896514,2130432,1877899,1969451,2315368,2124023,2123565,2230834,2097167,461,765,753,-183,-78,-139,-140,662,-171,31,816,643,639,816,546,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,0,1671102953
2161102,2159271,1833648,1927642,1896209,1895599,2130737,1878356,1969909,2315521,2123870,2123565,2230529,2097778,463,764,752,-184,-79,-140,-141,661,-172,30,815,642,638,815,545,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,0,1671102954
2161254,2159881,1833801,1927642,1896972,1895904,2131195,1878662,1969757,2315368,2123870,2122955,2230834,2097930,460,764,752,-184,-79,-140,-141,661,-172,30,815,642,638,815,545,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,0,1671102955
2160644,2158813,1833496,1926879,1897125,1895751,2130279,1878051,1969451,2315521,2123260,2122955,2230834,2097625,464,764,752,-184,-79,-140,-141,661,-172,30,815,642,638,815,545,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,0,1671102956
2160949,2159423,1833496,1927642,1897277,1896057,2130889,1877899,1969146,2314910,2123565,2122650,2230682,2097930,461,764,752,-184,-79,-140,-141,661,-172,30,815,642,638,815,545,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,0,1671102957
2161102,2159271,1833801,1927642,1896514,1896057,2130737,1878051,1969757,2315368,2124176,2123260,2230529,2097778,462,764,752,-184,-79,-140,-141,661,-172,30,815,642,638,815,545,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,0,1671102958
2161102,2159271,1834106,1927642,1896972,1895599,2130889,1878662,1970520,2315673,2123565,2122955,2230529,2097320,463,764,752,-184,-79,-140,-141,661,-172,30,815,642,638,815,545,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,0,1671102959
2161102,2159118,1833343,1926879,1896514,1895599,2130737,1877746,1969757,2315063,2123260,2123107,2230072,2097320,459,764,752,-184,-79,-140,-141,661,-172,30,815,642,638,815,545,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,0,1671102960
2161254,2159576,1833953,1927032,1896972,1896362,2130279,1878509,1969146,2315216,2124023,2123565,2230224,2097167,462,764,752,-184,-79,-140,-141,661,-172,30,815,642,638,815,545,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,0,1671102961
2161102,2159271,1833648,1927490,1897125,1896209,2130126,1878204,1968841,2314300,2123565,2123260,2230987,2097625,461,764,752,-184,-79,-140,-141,661,-172,30,815,642,638,815,545,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,0,1671102962
2160339,2158508,1834106,1927490,1897583,1896514,2130737,1878356,1968994,2314453,2124328,2123565,2231292,2098388,463,764,752,-184,-79,-140,-141,661,-172,30,815,642,638,815,545,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,0,1671102963
2160949,2159271,1833648,1927490,1896972,1895904,2131042,1878967,1969146,2315368,2123718,2123565,2230377,2097473,464,764,752,-184,-79,-140,-141,661,-172,30,815,642,638,815,545,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,0,1671102964
2160644,2159118,1833496,1927185,1896820,1896209,2130279,1878051,1969909,2315521,2124023,2123870,2230682,2097473,459,764,752,-184,-79,-140,-141,661,-172,30,815,642,638,815,545,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,0,1671102965
2160491,2158966,1834106,1928253,1897277,1895904,2130279,1878356,1970062,2315673,2123565,2122802,2230987,2097930,461,764,752,-184,-79,-140,-141,661,-172,30,815,642,638,815,545,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,0,1671102966
2160339,2159118,1833190,1927337,1896667,1895751,2130279,1878204,1970214,2315521,2124023,2123565,2230377,2097625,462,764,752,-184,-79,-140,-141,661,-172,30,815,642,638,815,545,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,0,1671102967
2161560,2159271,1833953,1927490,1896667,1895751,2130889,1879119,1969757,2315368,2123870,2123107,2230834,2098541,463,764,752,-184,-79,-140,-141,661,-172,30,815,642,638,815,545,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,0,1671102968
2160186,2159118,1833190,1926727,1896972,1895446,2130432,1878204,1969451,2315063,2124633,2123413,2230529,2098083,459,764,752,-184,-79,-140,-141,661,-172,30,815,642,638,815,545,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,0,1671102969
2161254,2159576,1834106,1927490,1897430,1896362,2130737,1878509,1969757,2315673,2123413,2122955,2230377,2097778,458,764,752,-184,-79,-140,-141,661,-172,30,815,642,638,815,545,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,0,1671102970
2161254,2159881,1833801,1927947,1897277,1895599,2130126,1878204,1969909,2315063,2124328,2123260,2230224,2097167,459,764,752,-184,-79,-140,-141,661,-172,30,815,642,638,815,545,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,0,1671102971
2161102,2159423,1833496,1927337,1896362,1895294,2130432,1878356,1969757,2315521,2123565,2123260,2230529,2097778,461,764,752,-184,-79,-140,-141,661,-172,30,815,642,638,815,545,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,0,1671102972
2160644,2159118,1833343,1927337,1897277,1896667,2130737,1878814,1969451,2315063,2123413,2123413,2230834,2097930,462,763,751,-185,-80,-141,-142,660,-173,29,814,641,637,814,544,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,0,1671102973
2160491,2158813,1833648,1927490,1897430,1896514,2130279,1878051,1970062,2315368,2123413,2123107,2231292,2098083,460,763,751,-185,-80,-141,-142,660,-173,29,814,641,637,814,544,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,0,1671102974
2161254,2159118,1834106,1927490,1897430,1895751,2130432,1878204,1970367,2315979,2123718,2123260,2230224,2097930,457,763,751,-185,-80,-141,-142,660,-173,29,814,641,637,814,544,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,0,1671102975
