cellVoltage_1,cellVoltage_2,cellVoltage_3,cellVoltage_4,cellVoltage_5,cellVoltage_6,cellVoltage_7,cellVoltage_8,cellVoltage_9,cellVoltage_10,cellVoltage_11,cellVoltage_12,cellVoltage_13,cellVoltage_14,packCurrent,cellSoC_1,cellSoC_2,cellSoC_3,cellSoC_4,cellSoC_5,cellSoC_6,cellSoC_7,cellSoC_8,cellSoC_9,cellSoC_10,cellSoC_11,cellSoC_12,cellSoC_13,cellSoC_14,cellSoH_1,cellSoH_2,cellSoH_3,cellSoH_4,cellSoH_5,cellSoH_6,cellSoH_7,cellSoH_8,cellSoH_9,cellSoH_10,cellSoH_11,cellSoH_12,cellSoH_13,cellSoH_14,equivalentFullCycle,Date
1991577,2360992,2203063,2156372,1958160,2338409,2172851,2164916,2227325,2292785,2225036,2137145,2022247,1869964,489,-4,796,796,768,-194,796,796,796,796,796,796,683,143,-203,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,0,1670612171
1992187,2360992,2203063,2155456,1958160,2338562,2173004,2164611,2228088,2292785,2223815,2137145,2022247,1870727,484,-4,796,796,768,-194,796,796,796,796,796,796,683,143,-203,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,0,1670612172
1991882,2360992,2203216,2155761,1957855,2338562,2172546,2164306,2228393,2292785,2224884,2137756,2022247,1869659,487,-4,796,796,768,-194,796,796,796,796,796,796,683,143,-203,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,0,1670612173
1992034,2360839,2202911,2155609,1958618,2338256,2172546,2164611,2227325,2292938,2223815,2137145,2023315,1870269,484,-4,796,796,768,-194,796,796,796,796,796,796,683,143,-203,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,0,1670612174
1991882,2360992,2202911,2155914,1958007,2338104,2172088,2163696,2227630,2292327,2224273,2137145,2022857,1870269,486,-4,796,796,768,-194,796,796,796,796,796,796,683,143,-203,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,0,1670612175
1991882,2361297,2203216,2155151,1958770,2337951,2172241,2165222,2227478,2292480,2224578,2137756,2023162,1870269,486,-4,796,796,768,-194,796,796,796,796,796,796,683,143,-203,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,0,1670612176
1991577,2360992,2203216,2155914,1958465,2338562,2172546,2164459,2227478,2292175,2224273,2137145,2023162,1870269,483,-4,796,796,768,-194,796,796,796,796,796,796,683,143,-203,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,0,1670612177
1992187,2361145,2203674,2155914,1958618,2337951,2172241,2165222,2228240,2293090,2223510,2136840,2023162,1870880,487,-4,796,796,768,-194,796,796,796,796,796,796,683,143,-203,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,0,1670612178
1991729,2361145,2203369,2156219,1958160,2338104,2172698,2164916,2227783,2292785,2224273,2137298,2021942,1869964,486,-4,796,796,768,-194,796,796,796,796,796,796,683,143,-203,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,0,1670612179
1992034,2360687,2203369,2156066,1958007,2337951,2172851,2164611,2227478,2292938,2224426,2137298,2023010,1870422,484,-4,796,796,768,-194,796,796,796,796,796,796,683,143,-203,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,0,1670612180
