cellVoltage_1,cellVoltage_2,cellVoltage_3,cellVoltage_4,cellVoltage_5,cellVoltage_6,cellVoltage_7,cellVoltage_8,cellVoltage_9,cellVoltage_10,cellVoltage_11,cellVoltage_12,cellVoltage_13,cellVoltage_14,packCurrent,cellSoC_1,cellSoC_2,cellSoC_3,cellSoC_4,cellSoC_5,cellSoC_6,cellSoC_7,cellSoC_8,cellSoC_9,cellSoC_10,cellSoC_11,cellSoC_12,cellSoC_13,cellSoC_14,cellSoH_1,cellSoH_2,cellSoH_3,cellSoH_4,cellSoH_5,cellSoH_6,cellSoH_7,cellSoH_8,cellSoH_9,cellSoH_10,cellSoH_11,cellSoH_12,cellSoH_13,cellSoH_14,equivalentFullCycle,cellCB_1,cellCB_2,cellCB_3,cellCB_4,cellCB_5,cellCB_6,cellCB_7,cellCB_8,cellCB_9,cellCB_10,cellCB_11,cellCB_12,cellCB_13,cellCB_14,Date
3739929,3740997,3737182,3738555,3600000,3600000,3600000,3600000,3600000,3600000,3600000,3733062,3737030,3737487,49,517,540,515,520,275,275,275,275,275,275,275,516,519,520,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1681388556
3740234,3741302,3736877,3737487,3600000,3600000,3600000,3600000,3600000,3600000,3600000,3734283,3736877,3737335,49,517,540,515,520,275,275,275,275,275,275,275,516,519,520,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1681388557
3739929,3741455,3736419,3737945,3600000,3600000,3600000,3600000,3600000,3600000,3600000,3734283,3736724,3737335,49,517,540,515,520,275,275,275,275,275,275,275,516,519,520,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1681388558
3739166,3740539,3736572,3737182,3600000,3600000,3600000,3600000,3600000,3600000,3600000,3733825,3737182,3737640,49,517,540,515,520,275,275,275,275,275,275,275,516,519,520,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1681388559
3739929,3740844,3737030,3738250,3600000,3600000,3600000,3600000,3600000,3600000,3600000,3733520,3737335,3737182,49,517,540,515,520,275,275,275,275,275,275,275,516,519,520,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1681388560
3735198,3751373,3733215,3737182,3600000,3600000,3600000,3600000,3600000,3600000,3600000,3734130,3737182,3737792,49,517,540,515,520,275,275,275,275,275,275,275,516,519,520,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1681388561
3734436,3751068,3733673,3737487,3600000,3600000,3600000,3600000,3600000,3600000,3600000,3733673,3736114,3737182,49,517,540,515,520,275,275,275,275,275,275,275,516,519,520,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1681388562
3734588,3751068,3733825,3737640,3600000,3600000,3600000,3600000,3600000,3600000,3600000,3734283,3736267,3736419,49,517,540,515,520,275,275,275,275,275,275,275,516,519,520,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1681388563
3734893,3750915,3733520,3737640,3600000,3600000,3600000,3600000,3600000,3600000,3600000,3733673,3736724,3737030,49,517,540,515,520,275,275,275,275,275,275,275,516,519,520,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1681388564
3734893,3751220,3733215,3737182,3600000,3600000,3600000,3600000,3600000,3600000,3600000,3734436,3736724,3736724,49,517,540,515,520,275,275,275,275,275,275,275,516,519,520,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1681388565
