cellVoltage_1,cellVoltage_2,cellVoltage_3,cellVoltage_4,cellVoltage_5,cellVoltage_6,cellVoltage_7,cellVoltage_8,cellVoltage_9,cellVoltage_10,cellVoltage_11,cellVoltage_12,cellVoltage_13,cellVoltage_14,packCurrent,cellSoC_1,cellSoC_2,cellSoC_3,cellSoC_4,cellSoC_5,cellSoC_6,cellSoC_7,cellSoC_8,cellSoC_9,cellSoC_10,cellSoC_11,cellSoC_12,cellSoC_13,cellSoC_14,cellSoH_1,cellSoH_2,cellSoH_3,cellSoH_4,cellSoH_5,cellSoH_6,cellSoH_7,cellSoH_8,cellSoH_9,cellSoH_10,cellSoH_11,cellSoH_12,cellSoH_13,cellSoH_14,equivalentFullCycle,cellCB_1,cellCB_2,cellCB_3,cellCB_4,cellCB_5,cellCB_6,cellCB_7,cellCB_8,cellCB_9,cellCB_10,cellCB_11,cellCB_12,cellCB_13,cellCB_14,Date
3759155,3760070,3751678,3773193,3600000,3600000,3600000,3600000,3600000,3600000,3600000,3751220,3757324,3759765,508,506,514,512,509,-84,-84,-84,-84,-84,-84,-84,510,516,516,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1681476133
3758850,3760070,3751220,3773193,3600000,3600000,3600000,3600000,3600000,3600000,3600000,3751068,3757781,3760223,507,506,514,512,509,-84,-84,-84,-84,-84,-84,-84,510,516,516,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1681476134
3758697,3759918,3751831,3773651,3600000,3600000,3600000,3600000,3600000,3600000,3600000,3750915,3757781,3759918,507,505,513,511,508,-85,-85,-85,-85,-85,-85,-85,509,515,515,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1681476135
3759155,3760223,3752593,3773956,3600000,3600000,3600000,3600000,3600000,3600000,3600000,3751068,3757476,3760070,505,505,513,511,508,-85,-85,-85,-85,-85,-85,-85,509,515,515,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1681476136
3757781,3759918,3751525,3772583,3600000,3600000,3600000,3600000,3600000,3600000,3600000,3750457,3757171,3759765,510,505,513,511,508,-85,-85,-85,-85,-85,-85,-85,509,515,515,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1681476137
3758544,3759613,3751831,3773498,3600000,3600000,3600000,3600000,3600000,3600000,3600000,3751068,3757629,3760375,506,505,513,511,508,-85,-85,-85,-85,-85,-85,-85,509,515,515,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1681476138
3759002,3760375,3751983,3772735,3600000,3600000,3600000,3600000,3600000,3600000,3600000,3750915,3758087,3760070,506,505,513,511,508,-85,-85,-85,-85,-85,-85,-85,509,515,515,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1681476139
3758239,3759460,3751525,3774108,3600000,3600000,3600000,3600000,3600000,3600000,3600000,3751220,3757019,3759765,509,505,513,511,508,-85,-85,-85,-85,-85,-85,-85,509,515,515,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1681476140
3757781,3759155,3751831,3772888,3600000,3600000,3600000,3600000,3600000,3600000,3600000,3750762,3757019,3759460,509,505,513,511,508,-85,-85,-85,-85,-85,-85,-85,509,515,515,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1681476141
3757629,3759613,3750915,3771820,3600000,3600000,3600000,3600000,3600000,3600000,3600000,3751220,3756561,3759765,511,505,513,511,508,-85,-85,-85,-85,-85,-85,-85,509,515,515,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1681476142
