U set;U actual;I set;I actual;P set;P actual;R set;R actual;R mode;Output/Input;Device mode;Error;Time
29,40V;25,86V;0,50A;0,00A;1508W;0W;N/A;N/A;Off;Off;Off;None;13.04.2023 15:36:57.204
29,40V;25,86V;0,50A;0,00A;1508W;0W;N/A;N/A;Off;Off;Off;None;13.04.2023 15:36:58.201
29,40V;25,86V;0,50A;0,00A;1508W;0W;N/A;N/A;Off;Off;Off;None;13.04.2023 15:36:59.198
29,40V;25,86V;0,50A;0,00A;1508W;0W;N/A;N/A;Off;Off;Off;None;13.04.2023 15:37:00.198
29,40V;26,52V;0,50A;0,50A;1508W;13W;N/A;N/A;Off;On;CC;None;13.04.2023 15:37:01.200
29,40V;26,53V;0,50A;0,50A;1508W;13W;N/A;N/A;Off;On;CC;None;13.04.2023 15:37:02.199
29,40V;26,53V;0,50A;0,50A;1508W;13W;N/A;N/A;Off;On;CC;None;13.04.2023 15:37:03.198
29,40V;26,54V;0,50A;0,50A;1508W;13W;N/A;N/A;Off;On;CC;None;13.04.2023 15:37:04.199
29,40V;26,54V;0,50A;0,50A;1508W;13W;N/A;N/A;Off;On;CC;None;13.04.2023 15:37:05.199
29,40V;26,54V;0,50A;0,50A;1508W;13W;N/A;N/A;Off;On;CC;None;13.04.2023 15:37:06.199
29,40V;26,55V;0,50A;0,50A;1508W;13W;N/A;N/A;Off;On;CC;None;13.04.2023 15:37:07.198
29,40V;26,55V;0,50A;0,50A;1508W;13W;N/A;N/A;Off;On;CC;None;13.04.2023 15:37:08.198
29,40V;26,55V;0,50A;0,50A;1508W;13W;N/A;N/A;Off;On;CC;None;13.04.2023 15:37:09.199
29,40V;26,55V;0,50A;0,50A;1508W;13W;N/A;N/A;Off;On;CC;None;13.04.2023 15:37:10.198
29,40V;26,56V;0,50A;0,50A;1508W;13W;N/A;N/A;Off;On;CC;None;13.04.2023 15:37:11.199
29,40V;26,56V;0,50A;0,50A;1508W;13W;N/A;N/A;Off;On;CC;None;13.04.2023 15:37:12.199
29,40V;26,56V;0,50A;0,50A;1508W;13W;N/A;N/A;Off;On;CC;None;13.04.2023 15:37:13.199
29,40V;26,56V;0,50A;0,50A;1508W;13W;N/A;N/A;Off;On;CC;None;13.04.2023 15:37:14.199
29,40V;26,57V;0,50A;0,50A;1508W;13W;N/A;N/A;Off;On;CC;None;13.04.2023 15:37:15.198
29,40V;26,57V;0,50A;0,50A;1508W;13W;N/A;N/A;Off;On;CC;None;13.04.2023 15:37:16.198
29,40V;26,57V;0,50A;0,50A;1508W;13W;N/A;N/A;Off;On;CC;None;13.04.2023 15:37:17.199
29,40V;26,57V;0,50A;0,50A;1508W;13W;N/A;N/A;Off;On;CC;None;13.04.2023 15:37:18.199
29,40V;26,57V;0,50A;0,50A;1508W;13W;N/A;N/A;Off;On;CC;None;13.04.2023 15:37:19.198
29,40V;26,58V;0,50A;0,50A;1508W;13W;N/A;N/A;Off;On;CC;None;13.04.2023 15:37:20.199
29,40V;26,58V;0,50A;0,50A;1508W;13W;N/A;N/A;Off;On;CC;None;13.04.2023 15:37:21.198
29,40V;26,58V;0,50A;0,50A;1508W;13W;N/A;N/A;Off;On;CC;None;13.04.2023 15:37:22.198
29,40V;26,58V;0,50A;0,50A;1508W;13W;N/A;N/A;Off;On;CC;None;13.04.2023 15:37:23.199
29,40V;26,58V;0,50A;0,50A;1508W;13W;N/A;N/A;Off;On;CC;None;13.04.2023 15:37:24.199
29,40V;26,58V;0,50A;0,50A;1508W;13W;N/A;N/A;Off;On;CC;None;13.04.2023 15:37:25.199
29,40V;26,58V;0,50A;0,50A;1508W;13W;N/A;N/A;Off;On;CC;None;13.04.2023 15:37:26.199
29,40V;26,59V;0,50A;0,50A;1508W;13W;N/A;N/A;Off;On;CC;None;13.04.2023 15:37:27.199
29,40V;26,59V;0,50A;0,50A;1508W;13W;N/A;N/A;Off;On;CC;None;13.04.2023 15:37:28.199
29,40V;26,59V;0,50A;0,50A;1508W;13W;N/A;N/A;Off;On;CC;None;13.04.2023 15:37:29.198
29,40V;26,59V;0,50A;0,50A;1508W;13W;N/A;N/A;Off;On;CC;None;13.04.2023 15:37:30.200
29,40V;26,59V;0,50A;0,50A;1508W;13W;N/A;N/A;Off;On;CC;None;13.04.2023 15:37:31.198
29,40V;26,59V;0,50A;0,50A;1508W;13W;N/A;N/A;Off;On;CC;None;13.04.2023 15:37:32.198
29,40V;26,60V;0,50A;0,50A;1508W;13W;N/A;N/A;Off;On;CC;None;13.04.2023 15:37:33.199
29,40V;26,60V;0,50A;0,50A;1508W;13W;N/A;N/A;Off;On;CC;None;13.04.2023 15:37:34.198
29,40V;26,60V;0,50A;0,50A;1508W;13W;N/A;N/A;Off;On;CC;None;13.04.2023 15:37:35.199
29,40V;26,60V;0,50A;0,50A;1508W;13W;N/A;N/A;Off;On;CC;None;13.04.2023 15:37:36.199
29,40V;26,60V;0,50A;0,50A;1508W;13W;N/A;N/A;Off;On;CC;None;13.04.2023 15:37:37.199
29,40V;26,60V;0,50A;0,50A;1508W;13W;N/A;N/A;Off;On;CC;None;13.04.2023 15:37:38.199
29,40V;26,60V;0,50A;0,50A;1508W;13W;N/A;N/A;Off;On;CC;None;13.04.2023 15:37:39.199
29,40V;26,61V;0,50A;0,50A;1508W;13W;N/A;N/A;Off;On;CC;None;13.04.2023 15:37:40.199
29,40V;26,61V;0,50A;0,50A;1508W;13W;N/A;N/A;Off;On;CC;None;13.04.2023 15:37:41.198
29,40V;26,61V;0,50A;0,50A;1508W;13W;N/A;N/A;Off;On;CC;None;13.04.2023 15:37:42.198
29,40V;26,61V;0,50A;0,50A;1508W;13W;N/A;N/A;Off;On;CC;None;13.04.2023 15:37:43.199
29,40V;26,61V;0,50A;0,50A;1508W;13W;N/A;N/A;Off;On;CC;None;13.04.2023 15:37:44.199
29,40V;26,61V;0,50A;0,50A;1508W;13W;N/A;N/A;Off;On;CC;None;13.04.2023 15:37:45.199
29,40V;26,61V;0,50A;0,50A;1508W;13W;N/A;N/A;Off;On;CC;None;13.04.2023 15:37:46.199
29,40V;26,61V;0,50A;0,50A;1508W;13W;N/A;N/A;Off;On;CC;None;13.04.2023 15:37:47.199
29,40V;26,61V;0,50A;0,50A;1508W;13W;N/A;N/A;Off;On;CC;None;13.04.2023 15:37:48.198
29,40V;26,61V;0,50A;0,50A;1508W;13W;N/A;N/A;Off;On;CC;None;13.04.2023 15:37:49.198
29,40V;26,62V;0,50A;0,50A;1508W;13W;N/A;N/A;Off;On;CC;None;13.04.2023 15:37:50.200
29,40V;26,62V;0,50A;0,50A;1508W;13W;N/A;N/A;Off;On;CC;None;13.04.2023 15:37:51.198
29,40V;26,62V;0,50A;0,50A;1508W;13W;N/A;N/A;Off;On;CC;None;13.04.2023 15:37:52.199
29,40V;26,62V;0,50A;0,50A;1508W;13W;N/A;N/A;Off;On;CC;None;13.04.2023 15:37:53.198
29,40V;26,62V;0,50A;0,50A;1508W;13W;N/A;N/A;Off;On;CC;None;13.04.2023 15:37:54.199
29,40V;26,62V;0,50A;0,50A;1508W;13W;N/A;N/A;Off;On;CC;None;13.04.2023 15:37:55.198
29,40V;26,62V;0,50A;0,50A;1508W;13W;N/A;N/A;Off;On;CC;None;13.04.2023 15:37:56.199
29,40V;26,62V;0,50A;0,50A;1508W;13W;N/A;N/A;Off;On;CC;None;13.04.2023 15:37:57.199
29,40V;26,62V;0,50A;0,50A;1508W;13W;N/A;N/A;Off;On;CC;None;13.04.2023 15:37:58.201
29,40V;26,62V;0,50A;0,50A;1508W;13W;N/A;N/A;Off;On;CC;None;13.04.2023 15:37:59.199
29,40V;26,63V;0,50A;0,50A;1508W;13W;N/A;N/A;Off;On;CC;None;13.04.2023 15:38:00.200
29,40V;26,63V;0,50A;0,50A;1508W;13W;N/A;N/A;Off;On;CC;None;13.04.2023 15:38:01.199
29,40V;26,63V;0,50A;0,50A;1508W;13W;N/A;N/A;Off;On;CC;None;13.04.2023 15:38:02.199
29,40V;26,63V;0,50A;0,50A;1508W;13W;N/A;N/A;Off;On;CC;None;13.04.2023 15:38:03.199
29,40V;26,63V;0,50A;0,50A;1508W;13W;N/A;N/A;Off;On;CC;None;13.04.2023 15:38:04.199
29,40V;26,63V;0,50A;0,50A;1508W;13W;N/A;N/A;Off;On;CC;None;13.04.2023 15:38:05.199
