U set;U actual;I set;I actual;P set;P actual;R set;R actual;R mode;Output/Input;Device mode;Error;Time
33,90V;28,63V;0,50A;0,50A;1508W;14W;N/A;N/A;Off;On;CC;None;27.03.2023 13:21:18.679
33,90V;28,64V;0,50A;0,50A;1508W;14W;N/A;N/A;Off;On;CC;None;27.03.2023 13:21:19.679
33,90V;28,64V;0,50A;0,50A;1508W;14W;N/A;N/A;Off;On;CC;None;27.03.2023 13:21:20.679
33,90V;28,65V;0,50A;0,50A;1508W;14W;N/A;N/A;Off;On;CC;None;27.03.2023 13:21:21.678
33,90V;28,66V;0,50A;0,50A;1508W;14W;N/A;N/A;Off;On;CC;None;27.03.2023 13:21:22.679
33,90V;28,67V;0,50A;0,50A;1508W;14W;N/A;N/A;Off;On;CC;None;27.03.2023 13:21:23.679
33,90V;28,67V;0,50A;0,50A;1508W;14W;N/A;N/A;Off;On;CC;None;27.03.2023 13:21:24.679
33,90V;28,68V;0,50A;0,50A;1508W;14W;N/A;N/A;Off;On;CC;None;27.03.2023 13:21:25.679
33,90V;28,68V;0,50A;0,50A;1508W;14W;N/A;N/A;Off;On;CC;None;27.03.2023 13:21:26.679
33,90V;28,69V;0,50A;0,50A;1508W;14W;N/A;N/A;Off;On;CC;None;27.03.2023 13:21:27.679
33,90V;28,69V;0,50A;0,50A;1508W;14W;N/A;N/A;Off;On;CC;None;27.03.2023 13:21:28.679
33,90V;28,70V;0,50A;0,50A;1508W;14W;N/A;N/A;Off;On;CC;None;27.03.2023 13:21:29.679
33,90V;28,71V;0,50A;0,50A;1508W;14W;N/A;N/A;Off;On;CC;None;27.03.2023 13:21:30.679
33,90V;28,71V;0,50A;0,50A;1508W;14W;N/A;N/A;Off;On;CC;None;27.03.2023 13:21:31.679
33,90V;28,72V;0,50A;0,50A;1508W;14W;N/A;N/A;Off;On;CC;None;27.03.2023 13:21:32.679
33,90V;28,72V;0,50A;0,50A;1508W;14W;N/A;N/A;Off;On;CC;None;27.03.2023 13:21:33.679
33,90V;28,73V;0,50A;0,50A;1508W;14W;N/A;N/A;Off;On;CC;None;27.03.2023 13:21:34.679
33,90V;28,73V;0,50A;0,50A;1508W;14W;N/A;N/A;Off;On;CC;None;27.03.2023 13:21:35.679
33,90V;28,74V;0,50A;0,50A;1508W;14W;N/A;N/A;Off;On;CC;None;27.03.2023 13:21:36.679
33,90V;28,74V;0,50A;0,50A;1508W;14W;N/A;N/A;Off;On;CC;None;27.03.2023 13:21:37.679
33,90V;28,75V;0,50A;0,50A;1508W;14W;N/A;N/A;Off;On;CC;None;27.03.2023 13:21:38.679
33,90V;28,75V;0,50A;0,50A;1508W;14W;N/A;N/A;Off;On;CC;None;27.03.2023 13:21:39.679
