U set;U actual;I set;I actual;P set;P actual;R set;R actual;R mode;Output/Input;Device mode;Error;Time
29,00V;28,52V;0,50A;0,50A;1508W;14W;N/A;N/A;Off;On;CC;None;21.04.2023 22:14:40.343
29,00V;28,52V;0,50A;0,50A;1508W;14W;N/A;N/A;Off;On;CC;None;21.04.2023 22:14:41.343
29,00V;28,52V;0,50A;0,50A;1508W;14W;N/A;N/A;Off;On;CC;None;21.04.2023 22:14:42.342
29,00V;28,52V;0,50A;0,50A;1508W;14W;N/A;N/A;Off;On;CC;None;21.04.2023 22:14:43.342
29,00V;28,52V;0,50A;0,50A;1508W;14W;N/A;N/A;Off;On;CC;None;21.04.2023 22:14:44.342
29,00V;28,53V;0,50A;0,50A;1508W;14W;N/A;N/A;Off;On;CC;None;21.04.2023 22:14:45.343
29,00V;28,53V;0,50A;0,50A;1508W;14W;N/A;N/A;Off;On;CC;None;21.04.2023 22:14:46.342
29,00V;28,53V;0,50A;0,50A;1508W;14W;N/A;N/A;Off;On;CC;None;21.04.2023 22:14:47.343
29,00V;28,53V;0,50A;0,50A;1508W;14W;N/A;N/A;Off;On;CC;None;21.04.2023 22:14:48.343
29,00V;28,53V;0,50A;0,50A;1508W;14W;N/A;N/A;Off;On;CC;None;21.04.2023 22:14:49.343
29,00V;28,53V;0,50A;0,50A;1508W;14W;N/A;N/A;Off;On;CC;None;21.04.2023 22:14:50.343
29,00V;28,53V;0,50A;0,50A;1508W;14W;N/A;N/A;Off;On;CC;None;21.04.2023 22:14:51.342
29,00V;28,53V;0,50A;0,50A;1508W;14W;N/A;N/A;Off;On;CC;None;21.04.2023 22:14:52.343
29,00V;28,54V;0,50A;0,50A;1508W;14W;N/A;N/A;Off;On;CC;None;21.04.2023 22:14:53.343
29,00V;28,54V;0,50A;0,50A;1508W;14W;N/A;N/A;Off;On;CC;None;21.04.2023 22:14:54.343
29,00V;28,54V;0,50A;0,50A;1508W;14W;N/A;N/A;Off;On;CC;None;21.04.2023 22:14:55.342
29,00V;28,54V;0,50A;0,50A;1508W;14W;N/A;N/A;Off;On;CC;None;21.04.2023 22:14:56.342
29,00V;28,54V;0,50A;0,50A;1508W;14W;N/A;N/A;Off;On;CC;None;21.04.2023 22:14:57.343
29,00V;28,54V;0,50A;0,50A;1508W;14W;N/A;N/A;Off;On;CC;None;21.04.2023 22:14:58.342
29,00V;28,54V;0,50A;0,50A;1508W;14W;N/A;N/A;Off;On;CC;None;21.04.2023 22:14:59.343
29,00V;28,54V;0,50A;0,50A;1508W;14W;N/A;N/A;Off;On;CC;None;21.04.2023 22:15:00.342
29,00V;28,55V;0,50A;0,50A;1508W;14W;N/A;N/A;Off;On;CC;None;21.04.2023 22:15:01.343
29,00V;28,55V;0,50A;0,50A;1508W;14W;N/A;N/A;Off;On;CC;None;21.04.2023 22:15:02.343
29,00V;28,55V;0,50A;0,50A;1508W;14W;N/A;N/A;Off;On;CC;None;21.04.2023 22:15:03.343
29,00V;28,55V;0,50A;0,50A;1508W;14W;N/A;N/A;Off;On;CC;None;21.04.2023 22:15:04.343
29,00V;28,55V;0,50A;0,50A;1508W;14W;N/A;N/A;Off;On;CC;None;21.04.2023 22:15:05.342
29,00V;28,55V;0,50A;0,50A;1508W;14W;N/A;N/A;Off;On;CC;None;21.04.2023 22:15:06.343
29,00V;28,55V;0,50A;0,50A;1508W;14W;N/A;N/A;Off;On;CC;None;21.04.2023 22:15:07.343
29,00V;28,55V;0,50A;0,50A;1508W;14W;N/A;N/A;Off;On;CC;None;21.04.2023 22:15:08.343
29,00V;28,55V;0,50A;0,50A;1508W;14W;N/A;N/A;Off;On;CC;None;21.04.2023 22:15:09.343
29,00V;28,56V;0,50A;0,50A;1508W;14W;N/A;N/A;Off;On;CC;None;21.04.2023 22:15:10.343
29,00V;28,56V;0,50A;0,50A;1508W;14W;N/A;N/A;Off;On;CC;None;21.04.2023 22:15:11.343
29,00V;28,56V;0,50A;0,50A;1508W;14W;N/A;N/A;Off;On;CC;None;21.04.2023 22:15:12.343
29,00V;28,56V;0,50A;0,50A;1508W;14W;N/A;N/A;Off;On;CC;None;21.04.2023 22:15:13.343
29,00V;28,56V;0,50A;0,50A;1508W;14W;N/A;N/A;Off;On;CC;None;21.04.2023 22:15:14.342
29,00V;28,56V;0,50A;0,50A;1508W;14W;N/A;N/A;Off;On;CC;None;21.04.2023 22:15:15.343
29,00V;28,56V;0,50A;0,50A;1508W;14W;N/A;N/A;Off;On;CC;None;21.04.2023 22:15:16.343
29,00V;28,56V;0,50A;0,50A;1508W;14W;N/A;N/A;Off;On;CC;None;21.04.2023 22:15:17.344
29,00V;28,56V;0,50A;0,50A;1508W;14W;N/A;N/A;Off;On;CC;None;21.04.2023 22:15:18.343
29,00V;28,56V;0,50A;0,50A;1508W;14W;N/A;N/A;Off;On;CC;None;21.04.2023 22:15:19.343
29,00V;28,56V;0,50A;0,50A;1508W;14W;N/A;N/A;Off;On;CC;None;21.04.2023 22:15:20.343
29,00V;28,56V;0,50A;0,50A;1508W;14W;N/A;N/A;Off;On;CC;None;21.04.2023 22:15:21.342
29,00V;28,56V;0,50A;0,50A;1508W;14W;N/A;N/A;Off;On;CC;None;21.04.2023 22:15:22.343
29,00V;28,56V;0,50A;0,50A;1508W;14W;N/A;N/A;Off;On;CC;None;21.04.2023 22:15:23.343
29,00V;28,56V;0,50A;0,50A;1508W;14W;N/A;N/A;Off;On;CC;None;21.04.2023 22:15:24.343
29,00V;28,56V;0,50A;0,50A;1508W;14W;N/A;N/A;Off;On;CC;None;21.04.2023 22:15:25.343
29,00V;28,57V;0,50A;0,50A;1508W;14W;N/A;N/A;Off;On;CC;None;21.04.2023 22:15:26.343
29,00V;28,57V;0,50A;0,50A;1508W;14W;N/A;N/A;Off;On;CC;None;21.04.2023 22:15:27.343
29,00V;28,57V;0,50A;0,50A;1508W;14W;N/A;N/A;Off;On;CC;None;21.04.2023 22:15:28.343
29,00V;28,57V;0,50A;0,50A;1508W;14W;N/A;N/A;Off;On;CC;None;21.04.2023 22:15:29.343
29,00V;28,57V;0,50A;0,50A;1508W;14W;N/A;N/A;Off;On;CC;None;21.04.2023 22:15:30.343
29,00V;28,57V;0,50A;0,50A;1508W;14W;N/A;N/A;Off;On;CC;None;21.04.2023 22:15:31.343
29,00V;28,57V;0,50A;0,50A;1508W;14W;N/A;N/A;Off;On;CC;None;21.04.2023 22:15:32.343
29,00V;28,57V;0,50A;0,50A;1508W;14W;N/A;N/A;Off;On;CC;None;21.04.2023 22:15:33.343
29,00V;28,57V;0,50A;0,50A;1508W;14W;N/A;N/A;Off;On;CC;None;21.04.2023 22:15:34.343
29,00V;28,57V;0,50A;0,50A;1508W;14W;N/A;N/A;Off;On;CC;None;21.04.2023 22:15:35.343
29,00V;28,57V;0,50A;0,50A;1508W;14W;N/A;N/A;Off;On;CC;None;21.04.2023 22:15:36.343
29,00V;28,58V;0,50A;0,50A;1508W;14W;N/A;N/A;Off;On;CC;None;21.04.2023 22:15:37.344
29,00V;28,58V;0,50A;0,50A;1508W;14W;N/A;N/A;Off;On;CC;None;21.04.2023 22:15:38.343
29,00V;28,58V;0,50A;0,50A;1508W;14W;N/A;N/A;Off;On;CC;None;21.04.2023 22:15:39.343
29,00V;28,58V;0,50A;0,50A;1508W;14W;N/A;N/A;Off;On;CC;None;21.04.2023 22:15:40.343
29,00V;28,58V;0,50A;0,50A;1508W;14W;N/A;N/A;Off;On;CC;None;21.04.2023 22:15:41.343
29,00V;28,58V;0,50A;0,50A;1508W;14W;N/A;N/A;Off;On;CC;None;21.04.2023 22:15:42.343
29,00V;28,58V;0,50A;0,50A;1508W;14W;N/A;N/A;Off;On;CC;None;21.04.2023 22:15:43.344
29,00V;28,58V;0,50A;0,50A;1508W;14W;N/A;N/A;Off;On;CC;None;21.04.2023 22:15:44.343
29,00V;28,58V;0,50A;0,50A;1508W;14W;N/A;N/A;Off;On;CC;None;21.04.2023 22:15:45.343
29,00V;28,58V;0,50A;0,50A;1508W;14W;N/A;N/A;Off;On;CC;None;21.04.2023 22:15:46.343
29,00V;28,58V;0,50A;0,50A;1508W;14W;N/A;N/A;Off;On;CC;None;21.04.2023 22:15:47.343
29,00V;28,58V;0,50A;0,50A;1508W;14W;N/A;N/A;Off;On;CC;None;21.04.2023 22:15:48.343
29,00V;28,58V;0,50A;0,50A;1508W;14W;N/A;N/A;Off;On;CC;None;21.04.2023 22:15:49.343
29,00V;28,58V;0,50A;0,50A;1508W;14W;N/A;N/A;Off;On;CC;None;21.04.2023 22:15:50.343
29,00V;28,59V;0,50A;0,50A;1508W;14W;N/A;N/A;Off;On;CC;None;21.04.2023 22:15:51.343
29,00V;28,59V;0,50A;0,50A;1508W;14W;N/A;N/A;Off;On;CC;None;21.04.2023 22:15:52.343
29,00V;28,59V;0,50A;0,50A;1508W;14W;N/A;N/A;Off;On;CC;None;21.04.2023 22:15:53.343
29,00V;28,59V;0,50A;0,50A;1508W;14W;N/A;N/A;Off;On;CC;None;21.04.2023 22:15:54.343
29,00V;28,59V;0,50A;0,50A;1508W;14W;N/A;N/A;Off;On;CC;None;21.04.2023 22:15:55.343
29,00V;28,59V;0,50A;0,50A;1508W;14W;N/A;N/A;Off;On;CC;None;21.04.2023 22:15:56.343
29,00V;28,59V;0,50A;0,50A;1508W;14W;N/A;N/A;Off;On;CC;None;21.04.2023 22:15:57.343
29,00V;28,59V;0,50A;0,50A;1508W;14W;N/A;N/A;Off;On;CC;None;21.04.2023 22:15:58.343
29,00V;28,59V;0,50A;0,50A;1508W;14W;N/A;N/A;Off;On;CC;None;21.04.2023 22:15:59.343
29,00V;28,59V;0,50A;0,50A;1508W;14W;N/A;N/A;Off;On;CC;None;21.04.2023 22:16:00.343
29,00V;28,59V;0,50A;0,50A;1508W;14W;N/A;N/A;Off;On;CC;None;21.04.2023 22:16:01.343
29,00V;28,59V;0,50A;0,50A;1508W;14W;N/A;N/A;Off;On;CC;None;21.04.2023 22:16:02.343
29,00V;28,59V;0,50A;0,50A;1508W;14W;N/A;N/A;Off;On;CC;None;21.04.2023 22:16:03.343
29,00V;28,59V;0,50A;0,50A;1508W;14W;N/A;N/A;Off;On;CC;None;21.04.2023 22:16:04.343
29,00V;28,59V;0,50A;0,50A;1508W;14W;N/A;N/A;Off;On;CC;None;21.04.2023 22:16:05.343
29,00V;28,59V;0,50A;0,50A;1508W;14W;N/A;N/A;Off;On;CC;None;21.04.2023 22:16:06.343
29,00V;28,59V;0,50A;0,50A;1508W;14W;N/A;N/A;Off;On;CC;None;21.04.2023 22:16:07.343
29,00V;28,60V;0,50A;0,50A;1508W;14W;N/A;N/A;Off;On;CC;None;21.04.2023 22:16:08.344
29,00V;28,60V;0,50A;0,50A;1508W;14W;N/A;N/A;Off;On;CC;None;21.04.2023 22:16:09.343
29,00V;28,60V;0,50A;0,50A;1508W;14W;N/A;N/A;Off;On;CC;None;21.04.2023 22:16:10.343
29,00V;28,60V;0,50A;0,50A;1508W;14W;N/A;N/A;Off;On;CC;None;21.04.2023 22:16:11.343
29,00V;28,60V;0,50A;0,50A;1508W;14W;N/A;N/A;Off;On;CC;None;21.04.2023 22:16:12.343
29,00V;28,60V;0,50A;0,50A;1508W;14W;N/A;N/A;Off;On;CC;None;21.04.2023 22:16:13.344
29,00V;28,60V;0,50A;0,50A;1508W;14W;N/A;N/A;Off;On;CC;None;21.04.2023 22:16:14.343
29,00V;28,60V;0,50A;0,50A;1508W;14W;N/A;N/A;Off;On;CC;None;21.04.2023 22:16:15.344
29,00V;28,60V;0,50A;0,50A;1508W;14W;N/A;N/A;Off;On;CC;None;21.04.2023 22:16:16.343
29,00V;28,60V;0,50A;0,50A;1508W;14W;N/A;N/A;Off;On;CC;None;21.04.2023 22:16:17.343
29,00V;28,60V;0,50A;0,50A;1508W;14W;N/A;N/A;Off;On;CC;None;21.04.2023 22:16:18.343
29,00V;28,60V;0,50A;0,50A;1508W;14W;N/A;N/A;Off;On;CC;None;21.04.2023 22:16:19.343
29,00V;28,60V;0,50A;0,50A;1508W;14W;N/A;N/A;Off;On;CC;None;21.04.2023 22:16:20.343
29,00V;28,60V;0,50A;0,50A;1508W;14W;N/A;N/A;Off;On;CC;None;21.04.2023 22:16:21.343
29,00V;28,60V;0,50A;0,50A;1508W;14W;N/A;N/A;Off;On;CC;None;21.04.2023 22:16:22.343
29,00V;28,60V;0,50A;0,50A;1508W;14W;N/A;N/A;Off;On;CC;None;21.04.2023 22:16:23.343
29,00V;28,60V;0,50A;0,50A;1508W;14W;N/A;N/A;Off;On;CC;None;21.04.2023 22:16:24.343
29,00V;28,60V;0,50A;0,50A;1508W;14W;N/A;N/A;Off;On;CC;None;21.04.2023 22:16:25.344
29,00V;28,60V;0,50A;0,50A;1508W;14W;N/A;N/A;Off;On;CC;None;21.04.2023 22:16:26.344
29,00V;28,60V;0,50A;0,50A;1508W;14W;N/A;N/A;Off;On;CC;None;21.04.2023 22:16:27.343
29,00V;28,60V;0,50A;0,50A;1508W;14W;N/A;N/A;Off;On;CC;None;21.04.2023 22:16:28.343
29,00V;28,60V;0,50A;0,50A;1508W;14W;N/A;N/A;Off;On;CC;None;21.04.2023 22:16:29.343
29,00V;28,60V;0,50A;0,50A;1508W;14W;N/A;N/A;Off;On;CC;None;21.04.2023 22:16:30.343
29,00V;28,60V;0,50A;0,50A;1508W;14W;N/A;N/A;Off;On;CC;None;21.04.2023 22:16:31.343
29,00V;28,60V;0,50A;0,50A;1508W;14W;N/A;N/A;Off;On;CC;None;21.04.2023 22:16:32.343
29,00V;28,61V;0,50A;0,50A;1508W;14W;N/A;N/A;Off;On;CC;None;21.04.2023 22:16:33.343
29,00V;28,61V;0,50A;0,50A;1508W;14W;N/A;N/A;Off;On;CC;None;21.04.2023 22:16:34.343
29,00V;28,61V;0,50A;0,50A;1508W;14W;N/A;N/A;Off;On;CC;None;21.04.2023 22:16:35.343
29,00V;28,61V;0,50A;0,50A;1508W;14W;N/A;N/A;Off;On;CC;None;21.04.2023 22:16:36.343
29,00V;28,61V;0,50A;0,50A;1508W;14W;N/A;N/A;Off;On;CC;None;21.04.2023 22:16:37.343
29,00V;28,61V;0,50A;0,50A;1508W;14W;N/A;N/A;Off;On;CC;None;21.04.2023 22:16:38.343
29,00V;28,61V;0,50A;0,50A;1508W;14W;N/A;N/A;Off;On;CC;None;21.04.2023 22:16:39.343
29,00V;28,61V;0,50A;0,50A;1508W;14W;N/A;N/A;Off;On;CC;None;21.04.2023 22:16:40.343
29,00V;28,61V;0,50A;0,50A;1508W;14W;N/A;N/A;Off;On;CC;None;21.04.2023 22:16:41.343
29,00V;28,61V;0,50A;0,50A;1508W;14W;N/A;N/A;Off;On;CC;None;21.04.2023 22:16:42.344
29,00V;28,61V;0,50A;0,50A;1508W;14W;N/A;N/A;Off;On;CC;None;21.04.2023 22:16:43.344
29,00V;28,61V;0,50A;0,50A;1508W;14W;N/A;N/A;Off;On;CC;None;21.04.2023 22:16:44.344
29,00V;28,61V;0,50A;0,50A;1508W;14W;N/A;N/A;Off;On;CC;None;21.04.2023 22:16:45.343
29,00V;28,61V;0,50A;0,50A;1508W;14W;N/A;N/A;Off;On;CC;None;21.04.2023 22:16:46.343
29,00V;28,61V;0,50A;0,50A;1508W;14W;N/A;N/A;Off;On;CC;None;21.04.2023 22:16:47.343
29,00V;28,61V;0,50A;0,50A;1508W;14W;N/A;N/A;Off;On;CC;None;21.04.2023 22:16:48.343
29,00V;28,61V;0,50A;0,50A;1508W;14W;N/A;N/A;Off;On;CC;None;21.04.2023 22:16:49.343
29,00V;28,61V;0,50A;0,50A;1508W;14W;N/A;N/A;Off;On;CC;None;21.04.2023 22:16:50.343
29,00V;28,61V;0,50A;0,50A;1508W;14W;N/A;N/A;Off;On;CC;None;21.04.2023 22:16:51.344
29,00V;28,61V;0,50A;0,50A;1508W;14W;N/A;N/A;Off;On;CC;None;21.04.2023 22:16:52.343
29,00V;28,61V;0,50A;0,50A;1508W;14W;N/A;N/A;Off;On;CC;None;21.04.2023 22:16:53.343
29,00V;28,62V;0,50A;0,50A;1508W;14W;N/A;N/A;Off;On;CC;None;21.04.2023 22:16:54.343
29,00V;28,62V;0,50A;0,50A;1508W;14W;N/A;N/A;Off;On;CC;None;21.04.2023 22:16:55.343
29,00V;28,62V;0,50A;0,50A;1508W;14W;N/A;N/A;Off;On;CC;None;21.04.2023 22:16:56.343
29,00V;28,62V;0,50A;0,50A;1508W;14W;N/A;N/A;Off;On;CC;None;21.04.2023 22:16:57.343
29,00V;28,62V;0,50A;0,50A;1508W;14W;N/A;N/A;Off;On;CC;None;21.04.2023 22:16:58.343
29,00V;28,62V;0,50A;0,50A;1508W;14W;N/A;N/A;Off;On;CC;None;21.04.2023 22:16:59.343
29,00V;28,62V;0,50A;0,50A;1508W;14W;N/A;N/A;Off;On;CC;None;21.04.2023 22:17:00.344
29,00V;28,62V;0,50A;0,50A;1508W;14W;N/A;N/A;Off;On;CC;None;21.04.2023 22:17:01.344
29,00V;28,62V;0,50A;0,50A;1508W;14W;N/A;N/A;Off;On;CC;None;21.04.2023 22:17:02.343
29,00V;28,62V;0,50A;0,50A;1508W;14W;N/A;N/A;Off;On;CC;None;21.04.2023 22:17:03.343
29,00V;28,62V;0,50A;0,50A;1508W;14W;N/A;N/A;Off;On;CC;None;21.04.2023 22:17:04.343
29,00V;28,62V;0,50A;0,50A;1508W;14W;N/A;N/A;Off;On;CC;None;21.04.2023 22:17:05.344
29,00V;28,62V;0,50A;0,50A;1508W;14W;N/A;N/A;Off;On;CC;None;21.04.2023 22:17:06.344
29,00V;28,62V;0,50A;0,50A;1508W;14W;N/A;N/A;Off;On;CC;None;21.04.2023 22:17:07.343
29,00V;28,62V;0,50A;0,50A;1508W;14W;N/A;N/A;Off;On;CC;None;21.04.2023 22:17:08.343
29,00V;28,62V;0,50A;0,50A;1508W;14W;N/A;N/A;Off;On;CC;None;21.04.2023 22:17:09.343
29,00V;28,62V;0,50A;0,50A;1508W;14W;N/A;N/A;Off;On;CC;None;21.04.2023 22:17:10.343
29,00V;28,62V;0,50A;0,50A;1508W;14W;N/A;N/A;Off;On;CC;None;21.04.2023 22:17:11.344
29,00V;28,62V;0,50A;0,50A;1508W;14W;N/A;N/A;Off;On;CC;None;21.04.2023 22:17:12.343
29,00V;28,62V;0,50A;0,50A;1508W;14W;N/A;N/A;Off;On;CC;None;21.04.2023 22:17:13.343
29,00V;28,63V;0,50A;0,50A;1508W;14W;N/A;N/A;Off;On;CC;None;21.04.2023 22:17:14.344
29,00V;28,63V;0,50A;0,50A;1508W;14W;N/A;N/A;Off;On;CC;None;21.04.2023 22:17:15.344
29,00V;28,63V;0,50A;0,50A;1508W;14W;N/A;N/A;Off;On;CC;None;21.04.2023 22:17:16.344
29,00V;28,63V;0,50A;0,50A;1508W;14W;N/A;N/A;Off;On;CC;None;21.04.2023 22:17:17.344
29,00V;28,63V;0,50A;0,50A;1508W;14W;N/A;N/A;Off;On;CC;None;21.04.2023 22:17:18.344
29,00V;28,63V;0,50A;0,50A;1508W;14W;N/A;N/A;Off;On;CC;None;21.04.2023 22:17:19.344
29,00V;28,63V;0,50A;0,50A;1508W;14W;N/A;N/A;Off;On;CC;None;21.04.2023 22:17:20.345
29,00V;28,63V;0,50A;0,50A;1508W;14W;N/A;N/A;Off;On;CC;None;21.04.2023 22:17:21.343
29,00V;28,63V;0,50A;0,50A;1508W;14W;N/A;N/A;Off;On;CC;None;21.04.2023 22:17:22.344
29,00V;28,63V;0,50A;0,50A;1508W;14W;N/A;N/A;Off;On;CC;None;21.04.2023 22:17:23.343
29,00V;28,63V;0,50A;0,50A;1508W;14W;N/A;N/A;Off;On;CC;None;21.04.2023 22:17:24.344
29,00V;28,63V;0,50A;0,50A;1508W;14W;N/A;N/A;Off;On;CC;None;21.04.2023 22:17:25.344
29,00V;28,63V;0,50A;0,50A;1508W;14W;N/A;N/A;Off;On;CC;None;21.04.2023 22:17:26.343
29,00V;28,63V;0,50A;0,50A;1508W;14W;N/A;N/A;Off;On;CC;None;21.04.2023 22:17:27.343
29,00V;28,63V;0,50A;0,50A;1508W;14W;N/A;N/A;Off;On;CC;None;21.04.2023 22:17:28.344
29,00V;28,63V;0,50A;0,50A;1508W;14W;N/A;N/A;Off;On;CC;None;21.04.2023 22:17:29.344
29,00V;28,63V;0,50A;0,50A;1508W;14W;N/A;N/A;Off;On;CC;None;21.04.2023 22:17:30.344
29,00V;28,63V;0,50A;0,50A;1508W;14W;N/A;N/A;Off;On;CC;None;21.04.2023 22:17:31.344
29,00V;28,63V;0,50A;0,50A;1508W;14W;N/A;N/A;Off;On;CC;None;21.04.2023 22:17:32.344
29,00V;28,63V;0,50A;0,50A;1508W;14W;N/A;N/A;Off;On;CC;None;21.04.2023 22:17:33.343
29,00V;28,63V;0,50A;0,50A;1508W;14W;N/A;N/A;Off;On;CC;None;21.04.2023 22:17:34.344
29,00V;28,64V;0,50A;0,50A;1508W;14W;N/A;N/A;Off;On;CC;None;21.04.2023 22:17:35.344
29,00V;28,64V;0,50A;0,50A;1508W;14W;N/A;N/A;Off;On;CC;None;21.04.2023 22:17:36.344
29,00V;28,64V;0,50A;0,50A;1508W;14W;N/A;N/A;Off;On;CC;None;21.04.2023 22:17:37.344
29,00V;28,64V;0,50A;0,50A;1508W;14W;N/A;N/A;Off;On;CC;None;21.04.2023 22:17:38.344
29,00V;28,64V;0,50A;0,50A;1508W;14W;N/A;N/A;Off;On;CC;None;21.04.2023 22:17:39.344
29,00V;28,64V;0,50A;0,50A;1508W;14W;N/A;N/A;Off;On;CC;None;21.04.2023 22:17:40.344
29,00V;28,64V;0,50A;0,50A;1508W;14W;N/A;N/A;Off;On;CC;None;21.04.2023 22:17:41.344
29,00V;28,64V;0,50A;0,50A;1508W;14W;N/A;N/A;Off;On;CC;None;21.04.2023 22:17:42.343
29,00V;28,64V;0,50A;0,50A;1508W;14W;N/A;N/A;Off;On;CC;None;21.04.2023 22:17:43.343
29,00V;28,64V;0,50A;0,50A;1508W;14W;N/A;N/A;Off;On;CC;None;21.04.2023 22:17:44.343
29,00V;28,64V;0,50A;0,50A;1508W;14W;N/A;N/A;Off;On;CC;None;21.04.2023 22:17:45.344
29,00V;28,64V;0,50A;0,50A;1508W;14W;N/A;N/A;Off;On;CC;None;21.04.2023 22:17:46.344
29,00V;28,64V;0,50A;0,50A;1508W;14W;N/A;N/A;Off;On;CC;None;21.04.2023 22:17:47.343
29,00V;28,64V;0,50A;0,50A;1508W;14W;N/A;N/A;Off;On;CC;None;21.04.2023 22:17:48.344
29,00V;28,64V;0,50A;0,50A;1508W;14W;N/A;N/A;Off;On;CC;None;21.04.2023 22:17:49.343
29,00V;28,64V;0,50A;0,50A;1508W;14W;N/A;N/A;Off;On;CC;None;21.04.2023 22:17:50.344
29,00V;28,64V;0,50A;0,50A;1508W;14W;N/A;N/A;Off;On;CC;None;21.04.2023 22:17:51.343
29,00V;28,64V;0,50A;0,50A;1508W;14W;N/A;N/A;Off;On;CC;None;21.04.2023 22:17:52.343
29,00V;28,64V;0,50A;0,50A;1508W;14W;N/A;N/A;Off;On;CC;None;21.04.2023 22:17:53.344
29,00V;28,64V;0,50A;0,50A;1508W;14W;N/A;N/A;Off;On;CC;None;21.04.2023 22:17:54.344
29,00V;28,64V;0,50A;0,50A;1508W;14W;N/A;N/A;Off;On;CC;None;21.04.2023 22:17:55.344
29,00V;28,64V;0,50A;0,50A;1508W;14W;N/A;N/A;Off;On;CC;None;21.04.2023 22:17:56.344
29,00V;28,64V;0,50A;0,50A;1508W;14W;N/A;N/A;Off;On;CC;None;21.04.2023 22:17:57.343
29,00V;28,64V;0,50A;0,50A;1508W;14W;N/A;N/A;Off;On;CC;None;21.04.2023 22:17:58.344
29,00V;28,64V;0,50A;0,50A;1508W;14W;N/A;N/A;Off;On;CC;None;21.04.2023 22:17:59.344
29,00V;28,64V;0,50A;0,50A;1508W;14W;N/A;N/A;Off;On;CC;None;21.04.2023 22:18:00.343
29,00V;28,64V;0,50A;0,50A;1508W;14W;N/A;N/A;Off;On;CC;None;21.04.2023 22:18:01.343
29,00V;28,64V;0,50A;0,50A;1508W;14W;N/A;N/A;Off;On;CC;None;21.04.2023 22:18:02.344
29,00V;28,64V;0,50A;0,50A;1508W;14W;N/A;N/A;Off;On;CC;None;21.04.2023 22:18:03.343
29,00V;28,64V;0,50A;0,50A;1508W;14W;N/A;N/A;Off;On;CC;None;21.04.2023 22:18:04.343
