U set;U actual;I set;I actual;P set;P actual;R set;R actual;R mode;Output/Input;Device mode;Error;Time
29,00V;27,84V;0,50A;0,00A;1508W;0W;N/A;N/A;Off;Off;Off;None;21.04.2023 22:14:14.348
29,00V;27,84V;0,50A;0,00A;1508W;0W;N/A;N/A;Off;Off;Off;None;21.04.2023 22:14:15.345
29,00V;27,84V;0,50A;0,00A;1508W;0W;N/A;N/A;Off;Off;Off;None;21.04.2023 22:14:16.342
29,00V;28,45V;0,50A;0,50A;1508W;14W;N/A;N/A;Off;On;CC;None;21.04.2023 22:14:17.343
29,00V;28,46V;0,50A;0,50A;1508W;14W;N/A;N/A;Off;On;CC;None;21.04.2023 22:14:18.342
29,00V;28,46V;0,50A;0,50A;1508W;14W;N/A;N/A;Off;On;CC;None;21.04.2023 22:14:19.342
29,00V;28,47V;0,50A;0,50A;1508W;14W;N/A;N/A;Off;On;CC;None;21.04.2023 22:14:20.342
29,00V;28,47V;0,50A;0,50A;1508W;14W;N/A;N/A;Off;On;CC;None;21.04.2023 22:14:21.343
29,00V;28,47V;0,50A;0,50A;1508W;14W;N/A;N/A;Off;On;CC;None;21.04.2023 22:14:22.342
29,00V;28,48V;0,50A;0,50A;1508W;14W;N/A;N/A;Off;On;CC;None;21.04.2023 22:14:23.343
29,00V;28,48V;0,50A;0,50A;1508W;14W;N/A;N/A;Off;On;CC;None;21.04.2023 22:14:24.342
29,00V;28,49V;0,50A;0,50A;1508W;14W;N/A;N/A;Off;On;CC;None;21.04.2023 22:14:25.342
29,00V;28,49V;0,50A;0,50A;1508W;14W;N/A;N/A;Off;On;CC;None;21.04.2023 22:14:26.342
29,00V;28,49V;0,50A;0,50A;1508W;14W;N/A;N/A;Off;On;CC;None;21.04.2023 22:14:27.342
29,00V;28,49V;0,50A;0,50A;1508W;14W;N/A;N/A;Off;On;CC;None;21.04.2023 22:14:28.342
29,00V;28,49V;0,50A;0,50A;1508W;14W;N/A;N/A;Off;On;CC;None;21.04.2023 22:14:29.342
29,00V;28,50V;0,50A;0,50A;1508W;14W;N/A;N/A;Off;On;CC;None;21.04.2023 22:14:30.342
29,00V;28,50V;0,50A;0,50A;1508W;14W;N/A;N/A;Off;On;CC;None;21.04.2023 22:14:31.343
29,00V;28,50V;0,50A;0,50A;1508W;14W;N/A;N/A;Off;On;CC;None;21.04.2023 22:14:32.342
29,00V;28,50V;0,50A;0,50A;1508W;14W;N/A;N/A;Off;On;CC;None;21.04.2023 22:14:33.343
29,00V;28,51V;0,50A;0,50A;1508W;14W;N/A;N/A;Off;On;CC;None;21.04.2023 22:14:34.342
29,00V;28,51V;0,50A;0,50A;1508W;14W;N/A;N/A;Off;On;CC;None;21.04.2023 22:14:35.342
29,00V;28,51V;0,50A;0,50A;1508W;14W;N/A;N/A;Off;On;CC;None;21.04.2023 22:14:36.343
29,00V;28,51V;0,50A;0,50A;1508W;14W;N/A;N/A;Off;On;CC;None;21.04.2023 22:14:37.342
29,00V;28,51V;0,50A;0,50A;1508W;14W;N/A;N/A;Off;On;CC;None;21.04.2023 22:14:38.342
29,00V;28,52V;0,50A;0,50A;1508W;14W;N/A;N/A;Off;On;CC;None;21.04.2023 22:14:39.343
