U set;U actual;I set;I actual;P set;P actual;R set;R actual;R mode;Output/Input;Device mode;Error;Time
29,00V;25,10V;0,50A;0,00A;1508W;0W;N/A;N/A;Off;Off;Off;None;19.04.2023 10:04:34.854
29,00V;25,10V;0,50A;0,00A;1508W;0W;N/A;N/A;Off;Off;Off;None;19.04.2023 10:04:35.851
29,00V;25,10V;0,50A;0,00A;1508W;0W;N/A;N/A;Off;Off;Off;None;19.04.2023 10:04:36.849
29,00V;25,73V;0,50A;0,49A;1508W;13W;N/A;N/A;Off;On;CC;None;19.04.2023 10:04:37.849
29,00V;25,73V;0,50A;0,49A;1508W;13W;N/A;N/A;Off;On;CC;None;19.04.2023 10:04:38.849
29,00V;25,74V;0,50A;0,49A;1508W;13W;N/A;N/A;Off;On;CC;None;19.04.2023 10:04:39.848
29,00V;25,74V;0,50A;0,49A;1508W;13W;N/A;N/A;Off;On;CC;None;19.04.2023 10:04:40.849
29,00V;25,74V;0,50A;0,49A;1508W;13W;N/A;N/A;Off;On;CC;None;19.04.2023 10:04:41.849
29,00V;25,75V;0,50A;0,49A;1508W;13W;N/A;N/A;Off;On;CC;None;19.04.2023 10:04:42.849
29,00V;25,75V;0,50A;0,49A;1508W;13W;N/A;N/A;Off;On;CC;None;19.04.2023 10:04:43.849
29,00V;25,75V;0,50A;0,49A;1508W;13W;N/A;N/A;Off;On;CC;None;19.04.2023 10:04:44.849
29,00V;25,75V;0,50A;0,49A;1508W;13W;N/A;N/A;Off;On;CC;None;19.04.2023 10:04:45.849
29,00V;25,76V;0,50A;0,49A;1508W;13W;N/A;N/A;Off;On;CC;None;19.04.2023 10:04:46.849
29,00V;25,76V;0,50A;0,49A;1508W;13W;N/A;N/A;Off;On;CC;None;19.04.2023 10:04:47.848
29,00V;25,76V;0,50A;0,49A;1508W;13W;N/A;N/A;Off;On;CC;None;19.04.2023 10:04:48.849
29,00V;25,76V;0,50A;0,49A;1508W;13W;N/A;N/A;Off;On;CC;None;19.04.2023 10:04:49.849
29,00V;25,76V;0,50A;0,49A;1508W;13W;N/A;N/A;Off;On;CC;None;19.04.2023 10:04:50.849
29,00V;25,76V;0,50A;0,49A;1508W;13W;N/A;N/A;Off;On;CC;None;19.04.2023 10:04:51.849
29,00V;25,77V;0,50A;0,49A;1508W;13W;N/A;N/A;Off;On;CC;None;19.04.2023 10:04:52.849
29,00V;25,77V;0,50A;0,49A;1508W;13W;N/A;N/A;Off;On;CC;None;19.04.2023 10:04:53.848
29,00V;25,77V;0,50A;0,49A;1508W;13W;N/A;N/A;Off;On;CC;None;19.04.2023 10:04:54.849
29,00V;25,77V;0,50A;0,49A;1508W;13W;N/A;N/A;Off;On;CC;None;19.04.2023 10:04:55.849
29,00V;25,77V;0,50A;0,49A;1508W;13W;N/A;N/A;Off;On;CC;None;19.04.2023 10:04:56.848
29,00V;25,78V;0,50A;0,49A;1508W;13W;N/A;N/A;Off;On;CC;None;19.04.2023 10:04:57.849
29,00V;25,78V;0,50A;0,49A;1508W;13W;N/A;N/A;Off;On;CC;None;19.04.2023 10:04:58.848
29,00V;25,78V;0,50A;0,49A;1508W;13W;N/A;N/A;Off;On;CC;None;19.04.2023 10:04:59.849
29,00V;25,78V;0,50A;0,49A;1508W;13W;N/A;N/A;Off;On;CC;None;19.04.2023 10:05:00.848
29,00V;25,78V;0,50A;0,49A;1508W;13W;N/A;N/A;Off;On;CC;None;19.04.2023 10:05:01.848
29,00V;25,78V;0,50A;0,49A;1508W;13W;N/A;N/A;Off;On;CC;None;19.04.2023 10:05:02.849
29,00V;25,78V;0,50A;0,49A;1508W;13W;N/A;N/A;Off;On;CC;None;19.04.2023 10:05:03.848
29,00V;25,78V;0,50A;0,49A;1508W;13W;N/A;N/A;Off;On;CC;None;19.04.2023 10:05:04.848
29,00V;25,78V;0,50A;0,49A;1508W;13W;N/A;N/A;Off;On;CC;None;19.04.2023 10:05:05.849
29,00V;25,78V;0,50A;0,49A;1508W;13W;N/A;N/A;Off;On;CC;None;19.04.2023 10:05:06.849
29,00V;25,79V;0,50A;0,49A;1508W;13W;N/A;N/A;Off;On;CC;None;19.04.2023 10:05:07.848
29,00V;25,79V;0,50A;0,49A;1508W;13W;N/A;N/A;Off;On;CC;None;19.04.2023 10:05:08.849
29,00V;25,79V;0,50A;0,49A;1508W;13W;N/A;N/A;Off;On;CC;None;19.04.2023 10:05:09.849
29,00V;25,79V;0,50A;0,49A;1508W;13W;N/A;N/A;Off;On;CC;None;19.04.2023 10:05:10.849
29,00V;25,79V;0,50A;0,49A;1508W;13W;N/A;N/A;Off;On;CC;None;19.04.2023 10:05:11.849
29,00V;25,79V;0,50A;0,49A;1508W;13W;N/A;N/A;Off;On;CC;None;19.04.2023 10:05:12.849
29,00V;25,79V;0,50A;0,49A;1508W;13W;N/A;N/A;Off;On;CC;None;19.04.2023 10:05:13.849
29,00V;25,80V;0,50A;0,49A;1508W;13W;N/A;N/A;Off;On;CC;None;19.04.2023 10:05:14.848
29,00V;25,80V;0,50A;0,49A;1508W;13W;N/A;N/A;Off;On;CC;None;19.04.2023 10:05:15.849
29,00V;25,80V;0,50A;0,49A;1508W;13W;N/A;N/A;Off;On;CC;None;19.04.2023 10:05:16.849
29,00V;25,80V;0,50A;0,49A;1508W;13W;N/A;N/A;Off;On;CC;None;19.04.2023 10:05:17.849
29,00V;25,80V;0,50A;0,49A;1508W;13W;N/A;N/A;Off;On;CC;None;19.04.2023 10:05:18.849
29,00V;25,80V;0,50A;0,49A;1508W;13W;N/A;N/A;Off;On;CC;None;19.04.2023 10:05:19.848
29,00V;25,80V;0,50A;0,49A;1508W;13W;N/A;N/A;Off;On;CC;None;19.04.2023 10:05:20.849
29,00V;25,80V;0,50A;0,49A;1508W;13W;N/A;N/A;Off;On;CC;None;19.04.2023 10:05:21.849
29,00V;25,80V;0,50A;0,49A;1508W;13W;N/A;N/A;Off;On;CC;None;19.04.2023 10:05:22.849
29,00V;25,80V;0,50A;0,49A;1508W;13W;N/A;N/A;Off;On;CC;None;19.04.2023 10:05:23.848
29,00V;25,81V;0,50A;0,49A;1508W;13W;N/A;N/A;Off;On;CC;None;19.04.2023 10:05:24.848
29,00V;25,81V;0,50A;0,49A;1508W;13W;N/A;N/A;Off;On;CC;None;19.04.2023 10:05:25.849
29,00V;25,81V;0,50A;0,49A;1508W;13W;N/A;N/A;Off;On;CC;None;19.04.2023 10:05:26.849
29,00V;25,81V;0,50A;0,49A;1508W;13W;N/A;N/A;Off;On;CC;None;19.04.2023 10:05:27.849
29,00V;25,81V;0,50A;0,49A;1508W;13W;N/A;N/A;Off;On;CC;None;19.04.2023 10:05:28.848
29,00V;25,81V;0,50A;0,49A;1508W;13W;N/A;N/A;Off;On;CC;None;19.04.2023 10:05:29.849
29,00V;25,81V;0,50A;0,49A;1508W;13W;N/A;N/A;Off;On;CC;None;19.04.2023 10:05:30.849
28,90V;25,81V;0,50A;0,49A;1508W;13W;N/A;N/A;Off;On;CC;None;19.04.2023 10:05:31.849
28,90V;25,81V;0,50A;0,49A;1508W;13W;N/A;N/A;Off;On;CC;None;19.04.2023 10:05:32.849
28,90V;25,81V;0,50A;0,49A;1508W;13W;N/A;N/A;Off;On;CC;None;19.04.2023 10:05:33.849
28,90V;25,81V;0,50A;0,49A;1508W;13W;N/A;N/A;Off;On;CC;None;19.04.2023 10:05:34.849
28,90V;25,81V;0,50A;0,49A;1508W;13W;N/A;N/A;Off;On;CC;None;19.04.2023 10:05:35.849
28,90V;25,82V;0,50A;0,49A;1508W;13W;N/A;N/A;Off;On;CC;None;19.04.2023 10:05:36.848
28,90V;25,82V;0,50A;0,49A;1508W;13W;N/A;N/A;Off;On;CC;None;19.04.2023 10:05:37.849
28,90V;25,82V;0,50A;0,49A;1508W;13W;N/A;N/A;Off;On;CC;None;19.04.2023 10:05:38.849
28,90V;25,82V;0,50A;0,49A;1508W;13W;N/A;N/A;Off;On;CC;None;19.04.2023 10:05:39.849
28,90V;25,82V;0,50A;0,49A;1508W;13W;N/A;N/A;Off;On;CC;None;19.04.2023 10:05:40.849
28,90V;25,82V;0,50A;0,49A;1508W;13W;N/A;N/A;Off;On;CC;None;19.04.2023 10:05:41.849
28,90V;25,82V;0,50A;0,49A;1508W;13W;N/A;N/A;Off;On;CC;None;19.04.2023 10:05:42.849
28,90V;25,82V;0,50A;0,49A;1508W;13W;N/A;N/A;Off;On;CC;None;19.04.2023 10:05:43.849
28,90V;25,82V;0,50A;0,49A;1508W;13W;N/A;N/A;Off;On;CC;None;19.04.2023 10:05:44.848
28,90V;25,82V;0,50A;0,49A;1508W;13W;N/A;N/A;Off;On;CC;None;19.04.2023 10:05:45.849
28,90V;25,82V;0,50A;0,49A;1508W;13W;N/A;N/A;Off;On;CC;None;19.04.2023 10:05:46.849
28,90V;25,82V;0,50A;0,49A;1508W;13W;N/A;N/A;Off;On;CC;None;19.04.2023 10:05:47.849
28,90V;25,82V;0,50A;0,49A;1508W;13W;N/A;N/A;Off;On;CC;None;19.04.2023 10:05:48.849
28,90V;25,82V;0,50A;0,49A;1508W;13W;N/A;N/A;Off;On;CC;None;19.04.2023 10:05:49.849
28,90V;25,82V;0,50A;0,49A;1508W;13W;N/A;N/A;Off;On;CC;None;19.04.2023 10:05:50.848
28,90V;25,82V;0,50A;0,49A;1508W;13W;N/A;N/A;Off;On;CC;None;19.04.2023 10:05:51.849
28,90V;25,82V;0,50A;0,49A;1508W;13W;N/A;N/A;Off;On;CC;None;19.04.2023 10:05:52.849
28,90V;25,82V;0,50A;0,49A;1508W;13W;N/A;N/A;Off;On;CC;None;19.04.2023 10:05:53.848
28,90V;25,82V;0,50A;0,49A;1508W;13W;N/A;N/A;Off;On;CC;None;19.04.2023 10:05:54.849
28,90V;25,82V;0,50A;0,49A;1508W;13W;N/A;N/A;Off;On;CC;None;19.04.2023 10:05:55.849
28,90V;25,83V;0,50A;0,49A;1508W;13W;N/A;N/A;Off;On;CC;None;19.04.2023 10:05:56.849
28,90V;25,83V;0,50A;0,49A;1508W;13W;N/A;N/A;Off;On;CC;None;19.04.2023 10:05:57.849
