cellVoltage_1,cellVoltage_2,cellVoltage_3,cellVoltage_4,cellVoltage_5,cellVoltage_6,cellVoltage_7,cellVoltage_8,cellVoltage_9,cellVoltage_10,cellVoltage_11,cellVoltage_12,cellVoltage_13,cellVoltage_14,packCurrent,cellSoC_1,cellSoC_2,cellSoC_3,cellSoC_4,cellSoC_5,cellSoC_6,cellSoC_7,cellSoC_8,cellSoC_9,cellSoC_10,cellSoC_11,cellSoC_12,cellSoC_13,cellSoC_14,cellSoH_1,cellSoH_2,cellSoH_3,cellSoH_4,cellSoH_5,cellSoH_6,cellSoH_7,cellSoH_8,cellSoH_9,cellSoH_10,cellSoH_11,cellSoH_12,cellSoH_13,cellSoH_14,equivalentFullCycle,cellCB_1,cellCB_2,cellCB_3,cellCB_4,cellCB_5,cellCB_6,cellCB_7,cellCB_8,cellCB_9,cellCB_10,cellCB_11,cellCB_12,cellCB_13,cellCB_14,Date
2047882,2047882,2074737,2015228,2039184,2031860,2079467,2019500,2045898,2000579,2090606,2048645,2046051,2023010,53,524,513,519,525,527,526,514,534,547,534,518,516,476,530,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,0,0,0,0,1,1,1,0,1,1,1,0,0,0,1,1679933996
2048339,2048492,2074584,2014923,2039184,2032775,2078704,2019042,2046051,2000427,2090454,2048187,2046203,2023010,53,524,513,519,525,527,526,514,534,547,534,518,516,476,530,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,0,0,0,0,1,1,1,0,1,1,1,0,0,0,1,1679933997
2048034,2047729,2074279,2015075,2039489,2032623,2078857,2019042,2046508,2001037,2090148,2048339,2046356,2023162,53,524,513,519,525,527,526,514,534,547,534,518,516,476,530,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,0,0,0,0,1,1,1,0,1,1,1,0,0,0,1,1679933998
2048339,2048339,2074737,2015075,2038726,2032012,2079010,2019500,2045745,2000427,2090606,2048339,2045288,2022247,53,524,513,519,525,527,526,514,534,547,534,518,516,476,530,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,0,0,0,0,1,1,1,0,1,1,1,0,0,0,1,1679933999
2048339,2047882,2074890,2015075,2040100,2032928,2079315,2020111,2045593,2000274,2090606,2048492,2046051,2022857,53,524,513,519,525,527,526,514,534,547,534,518,516,476,530,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,0,0,0,0,1,1,1,0,1,1,1,0,0,0,1,1679934000
2048492,2048339,2074432,2015228,2038726,2032318,2079467,2019500,2046356,2000885,2090148,2048187,2045745,2022857,53,524,513,519,525,527,526,514,534,547,534,518,516,476,530,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,0,0,0,0,1,1,1,0,1,1,1,0,0,0,1,1679934001
2047729,2047576,2075347,2015228,2039184,2032318,2078552,2019195,2046356,2000732,2090454,2048187,2046508,2023315,53,524,513,519,525,527,526,514,534,547,534,518,516,476,530,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,0,0,0,0,1,1,1,0,1,1,1,0,0,0,1,1679934002
2048339,2047882,2074890,2015380,2038879,2032012,2078552,2018432,2046051,2000122,2089843,2048187,2046356,2023315,53,524,513,519,525,527,526,514,534,547,534,518,516,476,530,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,0,0,0,0,1,1,1,0,1,1,1,0,0,0,1,1679934003
2047729,2048492,2075195,2015533,2039489,2031707,2079010,2019500,2046203,2000427,2089843,2048034,2046203,2023010,53,524,513,519,525,527,526,514,534,547,534,518,516,476,530,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,0,0,0,0,1,1,1,0,1,1,1,0,0,0,1,1679934004
2048034,2048034,2074432,2014312,2039184,2032165,2078857,2018585,2045898,2000579,2089843,2048187,2045898,2022857,53,524,513,519,525,527,526,514,534,547,534,518,516,476,530,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,0,0,0,0,1,1,1,0,1,1,1,0,0,0,1,1679934005
