cellVoltage_1,cellVoltage_2,cellVoltage_3,cellVoltage_4,cellVoltage_5,cellVoltage_6,cellVoltage_7,cellVoltage_8,cellVoltage_9,cellVoltage_10,cellVoltage_11,cellVoltage_12,cellVoltage_13,cellVoltage_14,packCurrent,cellSoC_1,cellSoC_2,cellSoC_3,cellSoC_4,cellSoC_5,cellSoC_6,cellSoC_7,cellSoC_8,cellSoC_9,cellSoC_10,cellSoC_11,cellSoC_12,cellSoC_13,cellSoC_14,cellSoH_1,cellSoH_2,cellSoH_3,cellSoH_4,cellSoH_5,cellSoH_6,cellSoH_7,cellSoH_8,cellSoH_9,cellSoH_10,cellSoH_11,cellSoH_12,cellSoH_13,cellSoH_14,equivalentFullCycle,cellCB_1,cellCB_2,cellCB_3,cellCB_4,cellCB_5,cellCB_6,cellCB_7,cellCB_8,cellCB_9,cellCB_10,cellCB_11,cellCB_12,cellCB_13,cellCB_14,Date
2063598,2065277,2064971,2060699,2064971,2064514,2063751,2065277,2075195,2065429,2066802,2064971,2048187,2070465,52,592,599,602,580,597,596,595,601,641,600,608,598,527,619,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1679930383
2063903,2065124,2064971,2060089,2064514,2064208,2063903,2064819,2074737,2065124,2066345,2064666,2048034,2070159,52,592,599,602,580,597,596,595,601,641,600,608,598,527,619,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1679930384
2063598,2065582,2065124,2060394,2065277,2064666,2063446,2064514,2075958,2065582,2067413,2065277,2048187,2070159,53,592,599,602,580,597,596,595,601,641,600,608,598,527,619,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1679930385
2064056,2065582,2064971,2060546,2064971,2064971,2064208,2065124,2075042,2065277,2067413,2065277,2047882,2070312,52,592,599,602,580,597,596,595,601,641,600,608,598,527,619,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1679930386
2063293,2064971,2065124,2060546,2064819,2064971,2063751,2064971,2075653,2065734,2067718,2066345,2048339,2069549,52,592,599,602,580,597,596,595,601,641,600,608,598,527,619,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1679930387
2064056,2065582,2064971,2060699,2064971,2064514,2063598,2064514,2074584,2064971,2067108,2064666,2047576,2070007,52,592,599,602,580,597,596,595,601,641,600,608,598,527,619,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1679930388
2063903,2064971,2065277,2060394,2064819,2064514,2063751,2064056,2075042,2064208,2066497,2064666,2047729,2070159,52,592,599,602,580,597,596,595,601,641,600,608,598,527,619,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1679930389
2063903,2064514,2065277,2060699,2064971,2064819,2063903,2064819,2074279,2064514,2066955,2065277,2048187,2069396,52,592,599,602,580,597,596,595,601,641,600,608,598,527,619,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1679930390
2062835,2064666,2064819,2060394,2064666,2064056,2063751,2064819,2075347,2064971,2066955,2065429,2047576,2070465,52,592,599,602,580,597,596,595,601,641,600,608,598,527,619,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1679930391
2062988,2064666,2064056,2059936,2065429,2065124,2063903,2064971,2075042,2064971,2066802,2064666,2047424,2069702,52,592,599,602,580,597,596,595,601,641,600,608,598,527,619,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1679930392
