cellVoltage_1,cellVoltage_2,cellVoltage_3,cellVoltage_4,cellVoltage_5,cellVoltage_6,cellVoltage_7,cellVoltage_8,cellVoltage_9,cellVoltage_10,cellVoltage_11,cellVoltage_12,cellVoltage_13,cellVoltage_14,packCurrent,cellSoC_1,cellSoC_2,cellSoC_3,cellSoC_4,cellSoC_5,cellSoC_6,cellSoC_7,cellSoC_8,cellSoC_9,cellSoC_10,cellSoC_11,cellSoC_12,cellSoC_13,cellSoC_14,cellSoH_1,cellSoH_2,cellSoH_3,cellSoH_4,cellSoH_5,cellSoH_6,cellSoH_7,cellSoH_8,cellSoH_9,cellSoH_10,cellSoH_11,cellSoH_12,cellSoH_13,cellSoH_14,equivalentFullCycle,cellCB_1,cellCB_2,cellCB_3,cellCB_4,cellCB_5,cellCB_6,cellCB_7,cellCB_8,cellCB_9,cellCB_10,cellCB_11,cellCB_12,cellCB_13,cellCB_14,Date
3968963,3975830,3965454,3983764,3600000,3600000,3600000,3600000,3600000,3600000,3600000,3963623,3976440,3980712,486,628,-223,-238,631,652,652,652,652,652,652,652,-238,-241,-241,852,-17,-27,852,852,852,852,852,852,852,852,-27,-29,-29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1681909513
3968353,3975219,3966064,3984375,3600000,3600000,3600000,3600000,3600000,3600000,3600000,3962860,3975372,3980560,487,628,-223,-238,631,652,652,652,652,652,652,652,-238,-241,-241,852,-17,-27,852,852,852,852,852,852,852,852,-27,-29,-29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1681909514
3968048,3975067,3965911,3984222,3600000,3600000,3600000,3600000,3600000,3600000,3600000,3962402,3975524,3980407,484,627,-224,-239,630,651,651,651,651,651,651,651,-239,-242,-242,852,-17,-27,852,852,852,852,852,852,852,852,-27,-29,-29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1681909515
3968353,3975219,3965606,3983917,3600000,3600000,3600000,3600000,3600000,3600000,3600000,3962707,3975219,3980102,488,627,-224,-239,630,651,651,651,651,651,651,651,-239,-242,-242,852,-17,-27,852,852,852,852,852,852,852,852,-27,-29,-29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1681909516
3968811,3975677,3965606,3983764,3600000,3600000,3600000,3600000,3600000,3600000,3600000,3962707,3975372,3980407,488,627,-224,-239,630,651,651,651,651,651,651,651,-239,-242,-242,852,-17,-27,852,852,852,852,852,852,852,852,-27,-29,-29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1681909517
3968658,3975372,3965148,3983764,3600000,3600000,3600000,3600000,3600000,3600000,3600000,3962249,3975219,3980865,487,627,-224,-239,630,651,651,651,651,651,651,651,-239,-242,-242,852,-17,-27,852,852,852,852,852,852,852,852,-27,-29,-29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1681909518
3968048,3975372,3965148,3983612,3600000,3600000,3600000,3600000,3600000,3600000,3600000,3963165,3975982,3980102,486,627,-224,-239,630,651,651,651,651,651,651,651,-239,-242,-242,852,-17,-27,852,852,852,852,852,852,852,852,-27,-29,-29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1681909519
3967895,3974914,3964843,3983306,3600000,3600000,3600000,3600000,3600000,3600000,3600000,3962554,3975372,3980712,488,627,-224,-239,630,651,651,651,651,651,651,651,-239,-242,-242,852,-17,-27,852,852,852,852,852,852,852,852,-27,-29,-29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1681909520
3967590,3974914,3965759,3983917,3600000,3600000,3600000,3600000,3600000,3600000,3600000,3962707,3974914,3979949,486,627,-224,-239,630,651,651,651,651,651,651,651,-239,-242,-242,852,-17,-27,852,852,852,852,852,852,852,852,-27,-29,-29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1681909521
3968048,3974914,3965606,3983917,3600000,3600000,3600000,3600000,3600000,3600000,3600000,3962860,3975524,3980560,486,627,-224,-239,630,651,651,651,651,651,651,651,-239,-242,-242,852,-17,-27,852,852,852,852,852,852,852,852,-27,-29,-29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1681909522
3968505,3975219,3965454,3983612,3600000,3600000,3600000,3600000,3600000,3600000,3600000,3963012,3975677,3980865,487,627,-224,-239,630,651,651,651,651,651,651,651,-239,-242,-242,852,-17,-27,852,852,852,852,852,852,852,852,-27,-29,-29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1681909523
3967895,3974914,3965911,3984222,3600000,3600000,3600000,3600000,3600000,3600000,3600000,3962860,3974609,3979797,488,627,-224,-239,630,651,651,651,651,651,651,651,-239,-242,-242,852,-17,-27,852,852,852,852,852,852,852,852,-27,-29,-29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1681909524
3968505,3974456,3965454,3983764,3600000,3600000,3600000,3600000,3600000,3600000,3600000,3962707,3974609,3979644,486,627,-224,-239,630,651,651,651,651,651,651,651,-239,-242,-242,852,-17,-27,852,852,852,852,852,852,852,852,-27,-29,-29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1681909525
3967895,3974761,3964843,3983154,3600000,3600000,3600000,3600000,3600000,3600000,3600000,3961944,3974761,3979797,488,627,-224,-239,630,651,651,651,651,651,651,651,-239,-242,-242,852,-17,-27,852,852,852,852,852,852,852,852,-27,-29,-29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1681909526
3968048,3975677,3965454,3983459,3600000,3600000,3600000,3600000,3600000,3600000,3600000,3962402,3975219,3980255,487,627,-224,-239,630,651,651,651,651,651,651,651,-239,-242,-242,852,-17,-27,852,852,852,852,852,852,852,852,-27,-29,-29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1681909527
3968505,3975219,3965148,3983459,3600000,3600000,3600000,3600000,3600000,3600000,3600000,3962554,3975067,3979644,486,627,-224,-239,630,651,651,651,651,651,651,651,-239,-242,-242,852,-17,-27,852,852,852,852,852,852,852,852,-27,-29,-29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1681909528
3967895,3974914,3965301,3983612,3600000,3600000,3600000,3600000,3600000,3600000,3600000,3962097,3975067,3979644,488,627,-224,-239,630,651,651,651,651,651,651,651,-239,-242,-242,852,-17,-27,852,852,852,852,852,852,852,852,-27,-29,-29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1681909529
3968048,3974914,3964691,3983306,3600000,3600000,3600000,3600000,3600000,3600000,3600000,3962554,3974456,3979492,487,627,-224,-239,630,651,651,651,651,651,651,651,-239,-242,-242,852,-17,-27,852,852,852,852,852,852,852,852,-27,-29,-29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1681909530
3967590,3974761,3964080,3982849,3600000,3600000,3600000,3600000,3600000,3600000,3600000,3962097,3975219,3979797,487,627,-224,-239,630,651,651,651,651,651,651,651,-239,-242,-242,852,-17,-27,852,852,852,852,852,852,852,852,-27,-29,-29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1681909531
3967285,3974456,3964691,3982849,3600000,3600000,3600000,3600000,3600000,3600000,3600000,3961944,3975219,3979644,488,627,-224,-239,630,651,651,651,651,651,651,651,-239,-242,-242,852,-17,-27,852,852,852,852,852,852,852,852,-27,-29,-29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1681909532
3967285,3973999,3964385,3982391,3600000,3600000,3600000,3600000,3600000,3600000,3600000,3961944,3974609,3978881,491,627,-224,-239,630,651,651,651,651,651,651,651,-239,-242,-242,852,-17,-27,852,852,852,852,852,852,852,852,-27,-29,-29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1681909533
3967437,3973999,3964233,3983154,3600000,3600000,3600000,3600000,3600000,3600000,3600000,3961944,3975067,3979797,488,627,-224,-239,630,651,651,651,651,651,651,651,-239,-242,-242,852,-17,-27,852,852,852,852,852,852,852,852,-27,-29,-29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1681909534
3968811,3975067,3963928,3982696,3600000,3600000,3600000,3600000,3600000,3600000,3600000,3962249,3975372,3980255,487,627,-224,-239,630,651,651,651,651,651,651,651,-239,-242,-242,852,-17,-27,852,852,852,852,852,852,852,852,-27,-29,-29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1681909535
3968200,3974761,3964691,3983001,3600000,3600000,3600000,3600000,3600000,3600000,3600000,3962097,3974761,3979034,488,626,-225,-240,629,650,650,650,650,650,650,650,-240,-243,-243,852,-17,-27,852,852,852,852,852,852,852,852,-27,-29,-29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1681909536
3967437,3974456,3964538,3983001,3600000,3600000,3600000,3600000,3600000,3600000,3600000,3961181,3974609,3979339,487,626,-225,-240,629,650,650,650,650,650,650,650,-240,-243,-243,852,-17,-27,852,852,852,852,852,852,852,852,-27,-29,-29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1681909537
3967132,3973846,3963470,3981933,3600000,3600000,3600000,3600000,3600000,3600000,3600000,3961944,3973693,3978881,491,626,-225,-240,629,650,650,650,650,650,650,650,-240,-243,-243,852,-17,-27,852,852,852,852,852,852,852,852,-27,-29,-29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1681909538
3967285,3974456,3964233,3982696,3600000,3600000,3600000,3600000,3600000,3600000,3600000,3961944,3974304,3979187,490,626,-225,-240,629,650,650,650,650,650,650,650,-240,-243,-243,852,-17,-27,852,852,852,852,852,852,852,852,-27,-29,-29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1681909539
3967285,3973999,3964691,3983306,3600000,3600000,3600000,3600000,3600000,3600000,3600000,3961791,3974304,3979187,488,626,-225,-240,629,650,650,650,650,650,650,650,-240,-243,-243,852,-17,-27,852,852,852,852,852,852,852,852,-27,-29,-29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1681909540
3966674,3973236,3964385,3982391,3600000,3600000,3600000,3600000,3600000,3600000,3600000,3961181,3973999,3978271,489,626,-225,-240,629,650,650,650,650,650,650,650,-240,-243,-243,852,-17,-27,852,852,852,852,852,852,852,852,-27,-29,-29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1681909541
3967132,3974151,3963623,3982696,3600000,3600000,3600000,3600000,3600000,3600000,3600000,3961791,3974304,3978729,491,626,-225,-240,629,650,650,650,650,650,650,650,-240,-243,-243,852,-17,-27,852,852,852,852,852,852,852,852,-27,-29,-29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1681909542
3966522,3973693,3963775,3982696,3600000,3600000,3600000,3600000,3600000,3600000,3600000,3961486,3974761,3979492,488,626,-225,-240,629,650,650,650,650,650,650,650,-240,-243,-243,852,-17,-27,852,852,852,852,852,852,852,852,-27,-29,-29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1681909543
3967285,3974304,3964233,3982696,3600000,3600000,3600000,3600000,3600000,3600000,3600000,3961029,3974609,3978729,487,626,-225,-240,629,650,650,650,650,650,650,650,-240,-243,-243,852,-17,-27,852,852,852,852,852,852,852,852,-27,-29,-29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1681909544
3966979,3973541,3963623,3982238,3600000,3600000,3600000,3600000,3600000,3600000,3600000,3960876,3973693,3978424,489,626,-225,-240,629,650,650,650,650,650,650,650,-240,-243,-243,852,-17,-27,852,852,852,852,852,852,852,852,-27,-29,-29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1681909545
3967437,3974304,3964843,3982543,3600000,3600000,3600000,3600000,3600000,3600000,3600000,3961486,3973999,3979187,484,626,-225,-240,629,650,650,650,650,650,650,650,-240,-243,-243,852,-17,-27,852,852,852,852,852,852,852,852,-27,-29,-29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1681909546
