cellVoltage_1,cellVoltage_2,cellVoltage_3,cellVoltage_4,cellVoltage_5,cellVoltage_6,cellVoltage_7,cellVoltage_8,cellVoltage_9,cellVoltage_10,cellVoltage_11,cellVoltage_12,cellVoltage_13,cellVoltage_14,packCurrent,cellSoC_1,cellSoC_2,cellSoC_3,cellSoC_4,cellSoC_5,cellSoC_6,cellSoC_7,cellSoC_8,cellSoC_9,cellSoC_10,cellSoC_11,cellSoC_12,cellSoC_13,cellSoC_14,cellSoH_1,cellSoH_2,cellSoH_3,cellSoH_4,cellSoH_5,cellSoH_6,cellSoH_7,cellSoH_8,cellSoH_9,cellSoH_10,cellSoH_11,cellSoH_12,cellSoH_13,cellSoH_14,equivalentFullCycle,cellCB_1,cellCB_2,cellCB_3,cellCB_4,cellCB_5,cellCB_6,cellCB_7,cellCB_8,cellCB_9,cellCB_10,cellCB_11,cellCB_12,cellCB_13,cellCB_14,Date
3817596,3823242,3812408,3833465,3600000,3600000,3600000,3600000,3600000,3600000,3600000,3809661,3819580,3823394,492,456,-395,-410,459,480,480,480,480,480,480,480,-410,-413,-413,852,-17,-27,852,852,852,852,852,852,852,852,-27,-29,-29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1681913123
3817291,3822174,3812866,3834533,3600000,3600000,3600000,3600000,3600000,3600000,3600000,3809661,3819885,3823699,490,456,-395,-410,459,480,480,480,480,480,480,480,-410,-413,-413,852,-17,-27,852,852,852,852,852,852,852,852,-27,-29,-29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1681913124
3816986,3822479,3812103,3833312,3600000,3600000,3600000,3600000,3600000,3600000,3600000,3809814,3819885,3823242,490,456,-395,-410,459,480,480,480,480,480,480,480,-410,-413,-413,852,-17,-27,852,852,852,852,852,852,852,852,-27,-29,-29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1681913125
3817596,3822479,3812255,3833465,3600000,3600000,3600000,3600000,3600000,3600000,3600000,3809967,3819274,3822326,492,456,-395,-410,459,480,480,480,480,480,480,480,-410,-413,-413,852,-17,-27,852,852,852,852,852,852,852,852,-27,-29,-29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1681913126
3816986,3821411,3811950,3833312,3600000,3600000,3600000,3600000,3600000,3600000,3600000,3809204,3819885,3823699,490,456,-395,-410,459,480,480,480,480,480,480,480,-410,-413,-413,852,-17,-27,852,852,852,852,852,852,852,852,-27,-29,-29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1681913127
3817443,3822631,3812103,3832855,3600000,3600000,3600000,3600000,3600000,3600000,3600000,3809967,3819427,3823394,488,456,-395,-410,459,480,480,480,480,480,480,480,-410,-413,-413,852,-17,-27,852,852,852,852,852,852,852,852,-27,-29,-29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1681913128
3816986,3823089,3812255,3833007,3600000,3600000,3600000,3600000,3600000,3600000,3600000,3809661,3819732,3823242,490,456,-395,-410,459,480,480,480,480,480,480,480,-410,-413,-413,852,-17,-27,852,852,852,852,852,852,852,852,-27,-29,-29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1681913129
3817749,3822784,3812255,3833465,3600000,3600000,3600000,3600000,3600000,3600000,3600000,3809356,3819732,3823394,488,456,-395,-410,459,480,480,480,480,480,480,480,-410,-413,-413,852,-17,-27,852,852,852,852,852,852,852,852,-27,-29,-29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1681913130
3817291,3822479,3812255,3833312,3600000,3600000,3600000,3600000,3600000,3600000,3600000,3809509,3819427,3823242,489,456,-395,-410,459,480,480,480,480,480,480,480,-410,-413,-413,852,-17,-27,852,852,852,852,852,852,852,852,-27,-29,-29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1681913131
3817291,3822479,3811492,3832702,3600000,3600000,3600000,3600000,3600000,3600000,3600000,3809204,3819427,3822937,491,456,-395,-410,459,480,480,480,480,480,480,480,-410,-413,-413,852,-17,-27,852,852,852,852,852,852,852,852,-27,-29,-29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1681913132
