SoC / %,Charge OCV / V,Discharge OCV / V,avg_Volts
0,1.874723,1.863432,1.8690775
10,1.941558,1.91928,1.930419
20,1.975438,1.954376,1.964907
30,2.002289,1.983062,1.9926755
40,2.026703,2.009003,2.017853
50,2.051423,2.033722,2.0425725
60,2.075837,2.058747,2.067292
70,2.100862,2.084077,2.0924695
80,2.126497,2.110323,2.11841
90,2.151522,2.138094,2.144808
100,2.177768,2.177768,2.177768
