cellVoltage_1,cellVoltage_2,cellVoltage_3,cellVoltage_4,cellVoltage_5,cellVoltage_6,cellVoltage_7,cellVoltage_8,cellVoltage_9,cellVoltage_10,cellVoltage_11,cellVoltage_12,cellVoltage_13,cellVoltage_14,packCurrent,cellSoC_1,cellSoC_2,cellSoC_3,cellSoC_4,cellSoC_5,cellSoC_6,cellSoC_7,cellSoC_8,cellSoC_9,cellSoC_10,cellSoC_11,cellSoC_12,cellSoC_13,cellSoC_14,cellSoH_1,cellSoH_2,cellSoH_3,cellSoH_4,cellSoH_5,cellSoH_6,cellSoH_7,cellSoH_8,cellSoH_9,cellSoH_10,cellSoH_11,cellSoH_12,cellSoH_13,cellSoH_14,equivalentFullCycle,Date
1916198,1918334,1985473,1724395,1865997,1890869,1938476,1821899,1971588,2312774,1996917,1954650,2232513,2094116,-510,487,489,674,409,409,444,542,409,627,1407,727,583,1407,1123,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,0,1671017012
1915740,1916961,1984558,1723937,1865692,1890716,1938781,1822357,1971435,2313079,1996459,1954498,2231140,2093963,-510,487,489,674,409,409,444,542,409,627,1407,727,583,1407,1123,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,0,1671017013
1915588,1917724,1985321,1724395,1865539,1891021,1938934,1822357,1971588,2313232,1996612,1953582,2231140,2093353,-510,487,489,674,409,409,444,542,409,627,1407,727,583,1407,1123,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,0,1671017014
1915435,1917419,1985473,1724700,1865844,1891326,1938781,1822052,1971282,2312927,1996612,1954498,2231140,2094116,-511,487,489,674,409,409,444,542,409,627,1407,727,583,1407,1123,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,0,1671017015
1915435,1917266,1984710,1723785,1866149,1891021,1939697,1822662,1971282,2313232,1996765,1954498,2231750,2093963,-511,487,489,674,409,409,444,542,409,627,1407,727,583,1407,1123,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,0,1671017016
1915740,1918029,1985473,1723785,1865539,1890411,1939086,1822814,1971282,2313537,1997070,1954193,2230834,2093505,-510,487,489,674,409,409,444,542,409,627,1407,727,583,1407,1123,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,0,1671017017
1915740,1917419,1985168,1724548,1865844,1891021,1939239,1822509,1970825,2313079,1997222,1954803,2231750,2093505,-511,487,489,674,409,409,444,542,409,627,1407,727,583,1407,1123,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,0,1671017018
1915740,1917877,1985015,1723937,1865234,1890258,1939392,1822509,1971130,2313079,1996612,1954498,2231750,2094421,-511,487,489,674,409,409,444,542,409,627,1407,727,583,1407,1123,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,0,1671017019
1915893,1918334,1985168,1723785,1865234,1890716,1938934,1821899,1971282,2312927,1996307,1954650,2231292,2093658,-511,487,489,674,409,409,444,542,409,627,1407,727,583,1407,1123,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,0,1671017020
1915740,1918029,1985015,1724548,1865844,1891021,1938781,1821899,1971588,2313079,1997375,1954345,2230682,2093353,-510,487,489,674,409,409,444,542,409,627,1407,727,583,1407,1123,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,0,1671017021
1915588,1918029,1985015,1724090,1865997,1891021,1939239,1822814,1970672,2313079,1996917,1954650,2231140,2093811,-510,487,489,674,409,409,444,542,409,627,1407,727,583,1407,1123,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,0,1671017022
1915740,1918029,1984863,1723937,1865997,1890563,1938781,1822357,1971740,2313385,1996307,1954498,2231292,2093353,-511,487,489,674,409,409,444,542,409,627,1407,727,583,1407,1123,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,0,1671017023
1916351,1917877,1985015,1724090,1865997,1890563,1938018,1821899,1971588,2312927,1996154,1954650,2231140,2094116,-510,487,489,674,409,409,444,542,409,627,1407,727,583,1407,1123,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,0,1671017024
1916198,1918029,1984558,1723632,1865844,1891021,1938934,1822204,1971130,2313079,1997070,1954956,2230987,2093811,-510,487,489,674,409,409,444,542,409,627,1407,727,583,1407,1123,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,0,1671017025
1915588,1917419,1984558,1724243,1866149,1891479,1938781,1821289,1970672,2313690,1995849,1954193,2231140,2093505,-510,487,489,674,409,409,444,542,409,627,1407,727,583,1407,1123,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,0,1671017026
1915283,1917572,1984405,1723785,1865692,1890869,1939239,1822052,1971588,2313232,1996612,1954193,2231750,2093811,-510,488,490,675,410,410,445,543,410,628,1408,728,584,1408,1124,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,0,1671017027
1915283,1917266,1985321,1724243,1866302,1891784,1939239,1822814,1971435,2313232,1997070,1954803,2231445,2093353,-510,488,490,675,410,410,445,543,410,628,1408,728,584,1408,1124,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,0,1671017028
1915283,1917724,1985015,1724243,1865844,1890563,1939239,1822357,1971588,2313537,1996765,1954956,2231292,2093811,-510,488,490,675,410,410,445,543,410,628,1408,728,584,1408,1124,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,0,1671017029
1915130,1917114,1985168,1724243,1866149,1890716,1938934,1822204,1971282,2313537,1996307,1954193,2231750,2094268,-509,488,490,675,410,410,445,543,410,628,1408,728,584,1408,1124,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,0,1671017030
1915588,1917724,1984558,1724090,1865692,1890563,1939392,1822204,1971435,2312927,1996765,1954345,2231597,2093811,-510,488,490,675,410,410,445,543,410,628,1408,728,584,1408,1124,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,0,1671017031
1915740,1917724,1985473,1724548,1865844,1890563,1939392,1822052,1971435,2313537,1997528,1955261,2230987,2093963,-510,488,490,675,410,410,445,543,410,628,1408,728,584,1408,1124,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,0,1671017032
1915893,1918182,1985168,1724090,1866149,1891021,1938934,1822204,1970825,2312622,1997070,1954193,2231903,2094116,-509,488,490,675,410,410,445,543,410,628,1408,728,584,1408,1124,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,0,1671017033
1915893,1917419,1985168,1723785,1865997,1890716,1938781,1821746,1970977,2313232,1997070,1953887,2231292,2093658,-509,488,490,675,410,410,445,543,410,628,1408,728,584,1408,1124,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,0,1671017034
1915588,1917419,1984710,1724548,1865386,1890411,1938781,1822357,1971588,2313385,1996917,1954345,2231292,2093658,-510,488,490,675,410,410,445,543,410,628,1408,728,584,1408,1124,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,0,1671017035
1915588,1917572,1985168,1724395,1865539,1890563,1939086,1822052,1971130,2313232,1996765,1954498,2230834,2093658,-510,488,490,675,410,410,445,543,410,628,1408,728,584,1408,1124,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,0,1671017036
1915588,1917724,1984558,1724243,1866607,1890716,1938934,1822509,1970672,2312774,1996154,1953887,2231597,2093963,-510,488,490,675,410,410,445,543,410,628,1408,728,584,1408,1124,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,0,1671017037
1915283,1917266,1985626,1724395,1866302,1890869,1938781,1822052,1971893,2313995,1997070,1954345,2231140,2094421,-510,488,490,675,410,410,445,543,410,628,1408,728,584,1408,1124,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,0,1671017038
1915283,1918029,1984558,1723632,1865539,1890411,1938781,1822357,1970977,2313232,1997222,1955108,2231445,2092895,-510,488,490,675,410,410,445,543,410,628,1408,728,584,1408,1124,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,0,1671017039
1916046,1917572,1984558,1724090,1865692,1891174,1938781,1822662,1971282,2312927,1996459,1954040,2231140,2093658,-510,488,490,675,410,410,445,543,410,628,1408,728,584,1408,1124,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,0,1671017040
1915435,1917877,1984710,1723937,1866302,1891021,1938934,1822509,1970825,2313079,1996612,1954345,2231292,2093963,-511,488,490,675,410,410,445,543,410,628,1408,728,584,1408,1124,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,0,1671017041
1915283,1917419,1984863,1724090,1865997,1890411,1938476,1822204,1972503,2313995,1996459,1954956,2231140,2093658,-511,488,490,675,410,410,445,543,410,628,1408,728,584,1408,1124,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,0,1671017042
1915740,1917572,1984863,1724243,1865539,1891021,1939239,1822662,1971588,2312927,1996765,1954345,2230834,2093505,-511,488,490,675,410,410,445,543,410,628,1408,728,584,1408,1124,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,0,1671017043
1915893,1918029,1984710,1724090,1865997,1891326,1939697,1822814,1971435,2313385,1996917,1954650,2231445,2094116,-510,489,491,676,411,411,446,544,411,629,1409,729,585,1409,1125,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,0,1671017044
1915893,1917419,1984863,1723785,1866149,1890106,1938629,1822204,1971130,2313537,1996154,1954498,2231292,2093963,-510,489,491,676,411,411,446,544,411,629,1409,729,585,1409,1125,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,0,1671017045
1915893,1917266,1984863,1723937,1865844,1890563,1939239,1821899,1971282,2313079,1996002,1954956,2231292,2093658,-509,489,491,676,411,411,446,544,411,629,1409,729,585,1409,1125,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,0,1671017046
1915740,1917114,1984710,1723632,1866149,1891326,1939239,1822967,1970977,2312927,1996765,1954650,2231903,2093811,-510,489,491,676,411,411,446,544,411,629,1409,729,585,1409,1125,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,0,1671017047
