cellVoltage_1,cellVoltage_2,cellVoltage_3,cellVoltage_4,cellVoltage_5,cellVoltage_6,cellVoltage_7,cellVoltage_8,cellVoltage_9,cellVoltage_10,cellVoltage_11,cellVoltage_12,cellVoltage_13,cellVoltage_14,packCurrent,cellSoC_1,cellSoC_2,cellSoC_3,cellSoC_4,cellSoC_5,cellSoC_6,cellSoC_7,cellSoC_8,cellSoC_9,cellSoC_10,cellSoC_11,cellSoC_12,cellSoC_13,cellSoC_14,cellSoH_1,cellSoH_2,cellSoH_3,cellSoH_4,cellSoH_5,cellSoH_6,cellSoH_7,cellSoH_8,cellSoH_9,cellSoH_10,cellSoH_11,cellSoH_12,cellSoH_13,cellSoH_14,equivalentFullCycle,Date
1916809,1916809,1985931,1724853,1867218,1893310,1940460,1819458,1972808,2316131,1999816,1956176,2232971,2095184,20,78,80,265,0,0,35,133,0,218,999,318,174,999,715,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,0,1671009774
1916198,1916503,1986083,1724243,1866760,1892700,1941375,1819152,1972351,2315063,1999664,1956634,2232971,2095642,-510,79,81,266,1,1,36,134,1,219,1000,319,175,1000,716,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,0,1671009775
1916503,1916503,1986389,1724700,1866607,1892852,1941070,1819305,1972808,2316131,1999359,1956176,2232360,2094421,-510,79,81,266,1,1,36,134,1,219,1000,319,175,1000,716,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,0,1671009776
1916046,1916961,1985473,1724090,1866760,1893005,1941070,1819458,1972503,2315979,1999359,1956634,2232208,2095184,-510,79,81,266,1,1,36,134,1,219,1000,319,175,1000,716,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,0,1671009777
1917114,1917114,1986236,1725311,1867370,1892547,1940002,1817932,1971893,2315368,1999053,1956634,2233123,2095642,-510,79,81,266,1,1,36,134,1,219,1000,319,175,1000,716,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,0,1671009778
1916656,1916961,1985778,1724700,1867675,1893615,1940917,1819763,1972198,2316284,2000274,1957244,2233123,2095336,-510,79,81,266,1,1,36,134,1,219,1000,319,175,1000,716,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,0,1671009779
1916046,1916809,1985778,1725006,1866912,1892547,1940765,1819915,1972808,2315979,1999359,1956176,2233276,2095336,-510,79,81,266,1,1,36,134,1,219,1000,319,175,1000,716,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,0,1671009780
1916503,1916961,1985778,1724548,1867065,1893463,1940307,1819000,1973266,2315521,1999206,1955871,2233123,2095336,-510,79,81,266,1,1,36,134,1,219,1000,319,175,1000,716,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,0,1671009781
1917419,1916809,1985931,1724548,1866607,1892852,1940765,1819305,1972045,2314758,1999053,1956329,2232208,2095336,-510,79,81,266,1,1,36,134,1,219,1000,319,175,1000,716,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,0,1671009782
1916809,1916656,1986389,1724243,1867065,1893157,1940460,1820068,1972351,2314910,1999206,1955871,2232360,2094879,-510,79,81,266,1,1,36,134,1,219,1000,319,175,1000,716,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,0,1671009783
1916503,1916656,1985778,1724090,1867675,1893768,1941528,1819915,1972656,2315826,1999053,1955871,2232360,2095031,-510,79,81,266,1,1,36,134,1,219,1000,319,175,1000,716,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,0,1671009784
1916656,1916656,1986236,1724700,1867218,1893005,1940460,1818847,1972351,2315521,1999664,1956787,2232666,2094879,-510,79,81,266,1,1,36,134,1,219,1000,319,175,1000,716,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,0,1671009786
1917266,1916809,1985473,1723785,1867065,1892700,1940917,1819763,1972961,2315673,1999206,1956024,2232818,2094879,-510,79,81,266,1,1,36,134,1,219,1000,319,175,1000,716,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,0,1671009787
1916809,1916656,1985626,1724548,1867523,1892700,1941070,1819000,1972961,2315826,1999664,1956939,2233123,2095184,-510,79,81,266,1,1,36,134,1,219,1000,319,175,1000,716,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,0,1671009788
1916503,1916198,1986083,1725311,1866760,1893005,1940917,1819000,1972503,2315826,1999359,1956481,2232208,2094879,-510,79,81,266,1,1,36,134,1,219,1000,319,175,1000,716,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,0,1671009789
1917266,1916961,1985626,1724700,1866455,1893005,1940917,1819915,1972351,2315673,1999664,1956634,2233276,2096252,-510,79,81,266,1,1,36,134,1,219,1000,319,175,1000,716,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,0,1671009790
1916351,1916503,1986083,1724853,1867065,1892395,1940612,1819152,1972656,2315521,1998901,1956329,2232513,2095336,-510,79,81,266,1,1,36,134,1,219,1000,319,175,1000,716,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,0,1671009791
1916809,1916809,1986389,1724700,1866455,1892852,1940917,1819610,1972045,2315368,1999511,1956329,2233123,2095031,-510,79,81,266,1,1,36,134,1,219,1000,319,175,1000,716,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,0,1671009792
1916503,1916198,1986389,1725006,1866760,1893157,1940307,1819152,1972656,2315216,1998748,1955718,2232666,2095031,-510,79,81,266,1,1,36,134,1,219,1000,319,175,1000,716,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,0,1671009793
1917114,1916961,1985321,1724395,1866760,1892547,1940460,1819458,1972198,2315063,2000274,1956939,2232971,2095336,-511,80,82,267,2,2,37,135,2,220,1000,320,176,1000,717,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,0,1671009794
1916809,1916809,1986083,1724243,1867370,1892852,1940917,1819458,1973114,2315521,1999359,1956787,2232666,2095794,-510,80,82,267,2,2,37,135,2,220,1000,320,176,1000,717,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,0,1671009795
1917114,1917266,1985931,1724243,1867675,1893005,1940612,1819000,1972656,2315826,1999816,1956329,2232818,2095031,-510,80,82,267,2,2,37,135,2,220,1000,320,176,1000,717,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,0,1671009796
1916046,1916351,1985778,1724700,1867675,1892852,1941070,1819458,1972656,2315521,1999816,1956634,2232666,2095031,-510,80,82,267,2,2,37,135,2,220,1000,320,176,1000,717,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,0,1671009797
1916656,1916809,1985626,1724395,1867218,1892852,1940765,1819458,1972503,2315368,1999664,1956481,2232208,2095031,-510,80,82,267,2,2,37,135,2,220,1000,320,176,1000,717,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,0,1671009798
1916198,1916351,1985778,1724700,1866912,1892852,1940765,1818847,1972961,2315216,1999664,1956329,2232666,2095184,-510,80,82,267,2,2,37,135,2,220,1000,320,176,1000,717,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,0,1671009799
1915740,1916351,1986236,1724395,1866302,1893005,1940765,1819610,1972808,2316131,1999511,1955871,2232666,2095184,-510,80,82,267,2,2,37,135,2,220,1000,320,176,1000,717,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,0,1671009800
